d,t,l
2021-01-01,0,52
2021-01-01,1,19
2021-01-01,2,-1
2021-01-01,3,-5
2021-01-01,4,9
2021-01-01,5,37
2021-01-01,6,71
2021-01-01,7,103
2021-01-01,8,126
2021-01-01,9,135
2021-01-01,10,131
2021-01-01,11,116
2021-01-01,12,99
2021-01-01,13,83
2021-01-01,14,74
2021-01-01,15,76
2021-01-01,16,90
2021-01-01,17,113
2021-01-01,18,138
2021-01-01,19,158
2021-01-01,20,169
2021-01-01,21,164
2021-01-01,22,144
2021-01-01,23,113
2021-01-02,0,76
2021-01-02,1,40
2021-01-02,2,12
2021-01-02,3,-2
2021-01-02,4,1
2021-01-02,5,21
2021-01-02,6,51
2021-01-02,7,84
2021-01-02,8,113
2021-01-02,9,131
2021-01-02,10,135
2021-01-02,11,126
2021-01-02,12,110
2021-01-02,13,93
2021-01-02,14,79
2021-01-02,15,73
2021-01-02,16,79
2021-01-02,17,96
2021-01-02,18,119
2021-01-02,19,143
2021-01-02,20,160
2021-01-02,21,166
2021-01-02,22,157
2021-01-02,23,133
2021-01-03,0,101
2021-01-03,1,66
2021-01-03,2,34
2021-01-03,3,11
2021-01-03,4,3
2021-01-03,5,12
2021-01-03,6,35
2021-01-03,7,65
2021-01-03,8,96
2021-01-03,9,120
2021-01-03,10,133
2021-01-03,11,132
2021-01-03,12,121
2021-01-03,13,105
2021-01-03,14,89
2021-01-03,15,77
2021-01-03,16,74
2021-01-03,17,82
2021-01-03,18,100
2021-01-03,19,122
2021-01-03,20,142
2021-01-03,21,156
2021-01-03,22,158
2021-01-03,23,146
2021-01-04,0,122
2021-01-04,1,91
2021-01-04,2,60
2021-01-04,3,33
2021-01-04,4,16
2021-01-04,5,14
2021-01-04,6,26
2021-01-04,7,50
2021-01-04,8,78
2021-01-04,9,105
2021-01-04,10,125
2021-01-04,11,134
2021-01-04,12,130
2021-01-04,13,117
2021-01-04,14,101
2021-01-04,15,86
2021-01-04,16,76
2021-01-04,17,74
2021-01-04,18,83
2021-01-04,19,99
2021-01-04,20,119
2021-01-04,21,136
2021-01-04,22,146
2021-01-04,23,147
2021-01-05,0,135
2021-01-05,1,113
2021-01-05,2,86
2021-01-05,3,59
2021-01-05,4,38
2021-01-05,5,26
2021-01-05,6,28
2021-01-05,7,42
2021-01-05,8,65
2021-01-05,9,90
2021-01-05,10,113
2021-01-05,11,129
2021-01-05,12,134
2021-01-05,13,128
2021-01-05,14,114
2021-01-05,15,99
2021-01-05,16,84
2021-01-05,17,75
2021-01-05,18,73
2021-01-05,19,80
2021-01-05,20,93
2021-01-05,21,109
2021-01-05,22,124
2021-01-05,23,134
2021-01-06,0,135
2021-01-06,1,125
2021-01-06,2,107
2021-01-06,3,85
2021-01-06,4,64
2021-01-06,5,48
2021-01-06,6,40
2021-01-06,7,43
2021-01-06,8,57
2021-01-06,9,77
2021-01-06,10,99
2021-01-06,11,119
2021-01-06,12,132
2021-01-06,13,135
2021-01-06,14,128
2021-01-06,15,114
2021-01-06,16,98
2021-01-06,17,82
2021-01-06,18,71
2021-01-06,19,67
2021-01-06,20,71
2021-01-06,21,81
2021-01-06,22,95
2021-01-06,23,109
2021-01-07,0,120
2021-01-07,1,124
2021-01-07,2,119
2021-01-07,3,106
2021-01-07,4,90
2021-01-07,5,73
2021-01-07,6,60
2021-01-07,7,54
2021-01-07,8,57
2021-01-07,9,69
2021-01-07,10,87
2021-01-07,11,107
2021-01-07,12,124
2021-01-07,13,136
2021-01-07,14,137
2021-01-07,15,130
2021-01-07,16,115
2021-01-07,17,97
2021-01-07,18,79
2021-01-07,19,65
2021-01-07,20,57
2021-01-07,21,57
2021-01-07,22,65
2021-01-07,23,78
2021-01-08,0,93
2021-01-08,1,107
2021-01-08,2,116
2021-01-08,3,116
2021-01-08,4,110
2021-01-08,5,98
2021-01-08,6,85
2021-01-08,7,73
2021-01-08,8,67
2021-01-08,9,69
2021-01-08,10,79
2021-01-08,11,95
2021-01-08,12,113
2021-01-08,13,130
2021-01-08,14,141
2021-01-08,15,142
2021-01-08,16,134
2021-01-08,17,117
2021-01-08,18,96
2021-01-08,19,75
2021-01-08,20,56
2021-01-08,21,44
2021-01-08,22,40
2021-01-08,23,46
2021-01-09,0,60
2021-01-09,1,78
2021-01-09,2,98
2021-01-09,3,112
2021-01-09,4,119
2021-01-09,5,116
2021-01-09,6,108
2021-01-09,7,96
2021-01-09,8,84
2021-01-09,9,76
2021-01-09,10,76
2021-01-09,11,85
2021-01-09,12,100
2021-01-09,13,119
2021-01-09,14,136
2021-01-09,15,148
2021-01-09,16,149
2021-01-09,17,139
2021-01-09,18,119
2021-01-09,19,94
2021-01-09,20,68
2021-01-09,21,44
2021-01-09,22,27
2021-01-09,23,21
2021-01-10,0,28
2021-01-10,1,45
2021-01-10,2,68
2021-01-10,3,93
2021-01-10,4,114
2021-01-10,5,124
2021-01-10,6,125
2021-01-10,7,116
2021-01-10,8,104
2021-01-10,9,90
2021-01-10,10,81
2021-01-10,11,79
2021-01-10,12,88
2021-01-10,13,105
2021-01-10,14,125
2021-01-10,15,144
2021-01-10,16,156
2021-01-10,17,157
2021-01-10,18,144
2021-01-10,19,120
2021-01-10,20,90
2021-01-10,21,58
2021-01-10,22,30
2021-01-10,23,10
2021-01-11,0,4
2021-01-11,1,13
2021-01-11,2,35
2021-01-11,3,64
2021-01-11,4,94
2021-01-11,5,119
2021-01-11,6,132
2021-01-11,7,132
2021-01-11,8,122
2021-01-11,9,107
2021-01-11,10,92
2021-01-11,11,81
2021-01-11,12,80
2021-01-11,13,90
2021-01-11,14,109
2021-01-11,15,132
2021-01-11,16,153
2021-01-11,17,165
2021-01-11,18,164
2021-01-11,19,147
2021-01-11,20,118
2021-01-11,21,84
2021-01-11,22,48
2021-01-11,23,16
2021-01-12,0,-4
2021-01-12,1,-8
2021-01-12,2,5
2021-01-12,3,32
2021-01-12,4,66
2021-01-12,5,100
2021-01-12,6,126
2021-01-12,7,138
2021-01-12,8,136
2021-01-12,9,123
2021-01-12,10,106
2021-01-12,11,89
2021-01-12,12,78
2021-01-12,13,78
2021-01-12,14,92
2021-01-12,15,114
2021-01-12,16,140
2021-01-12,17,161
2021-01-12,18,173
2021-01-12,19,168
2021-01-12,20,147
2021-01-12,21,114
2021-01-12,22,75
2021-01-12,23,36
2021-01-13,0,4
2021-01-13,1,-14
2021-01-13,2,-13
2021-01-13,3,5
2021-01-13,4,36
2021-01-13,5,73
2021-01-13,6,109
2021-01-13,7,133
2021-01-13,8,141
2021-01-13,9,135
2021-01-13,10,119
2021-01-13,11,100
2021-01-13,12,83
2021-01-13,13,74
2021-01-13,14,78
2021-01-13,15,95
2021-01-13,16,121
2021-01-13,17,147
2021-01-13,18,169
2021-01-13,19,177
2021-01-13,20,168
2021-01-13,21,142
2021-01-13,22,105
2021-01-13,23,65
2021-01-14,0,26
2021-01-14,1,-3
2021-01-14,2,-17
2021-01-14,3,-11
2021-01-14,4,13
2021-01-14,5,47
2021-01-14,6,85
2021-01-14,7,118
2021-01-14,8,138
2021-01-14,9,141
2021-01-14,10,130
2021-01-14,11,112
2021-01-14,12,92
2021-01-14,13,76
2021-01-14,14,70
2021-01-14,15,79
2021-01-14,16,100
2021-01-14,17,127
2021-01-14,18,154
2021-01-14,19,172
2021-01-14,20,176
2021-01-14,21,162
2021-01-14,22,132
2021-01-14,23,94
2021-01-15,0,54
2021-01-15,1,18
2021-01-15,2,-6
2021-01-15,3,-13
2021-01-15,4,0
2021-01-15,5,27
2021-01-15,6,63
2021-01-15,7,99
2021-01-15,8,126
2021-01-15,9,140
2021-01-15,10,137
2021-01-15,11,122
2021-01-15,12,103
2021-01-15,13,83
2021-01-15,14,70
2021-01-15,15,69
2021-01-15,16,82
2021-01-15,17,106
2021-01-15,18,133
2021-01-15,19,157
2021-01-15,20,171
2021-01-15,21,169
2021-01-15,22,151
2021-01-15,23,119
2021-01-16,0,82
2021-01-16,1,45
2021-01-16,2,15
2021-01-16,3,-2
2021-01-16,4,-1
2021-01-16,5,17
2021-01-16,6,47
2021-01-16,7,80
2021-01-16,8,111
2021-01-16,9,132
2021-01-16,10,138
2021-01-16,11,130
2021-01-16,12,113
2021-01-16,13,93
2021-01-16,14,76
2021-01-16,15,67
2021-01-16,16,71
2021-01-16,17,87
2021-01-16,18,111
2021-01-16,19,136
2021-01-16,20,156
2021-01-16,21,164
2021-01-16,22,157
2021-01-16,23,135
2021-01-17,0,104
2021-01-17,1,70
2021-01-17,2,39
2021-01-17,3,17
2021-01-17,4,9
2021-01-17,5,17
2021-01-17,6,38
2021-01-17,7,67
2021-01-17,8,97
2021-01-17,9,121
2021-01-17,10,134
2021-01-17,11,133
2021-01-17,12,121
2021-01-17,13,104
2021-01-17,14,85
2021-01-17,15,72
2021-01-17,16,67
2021-01-17,17,74
2021-01-17,18,92
2021-01-17,19,114
2021-01-17,20,135
2021-01-17,21,150
2021-01-17,22,152
2021-01-17,23,141
2021-01-18,0,119
2021-01-18,1,90
2021-01-18,2,62
2021-01-18,3,39
2021-01-18,4,25
2021-01-18,5,25
2021-01-18,6,38
2021-01-18,7,60
2021-01-18,8,86
2021-01-18,9,110
2021-01-18,10,126
2021-01-18,11,132
2021-01-18,12,127
2021-01-18,13,113
2021-01-18,14,96
2021-01-18,15,80
2021-01-18,16,70
2021-01-18,17,68
2021-01-18,18,78
2021-01-18,19,94
2021-01-18,20,113
2021-01-18,21,130
2021-01-18,22,139
2021-01-18,23,137
2021-01-19,0,124
2021-01-19,1,104
2021-01-19,2,80
2021-01-19,3,59
2021-01-19,4,43
2021-01-19,5,38
2021-01-19,6,43
2021-01-19,7,59
2021-01-19,8,79
2021-01-19,9,101
2021-01-19,10,118
2021-01-19,11,128
2021-01-19,12,129
2021-01-19,13,120
2021-01-19,14,106
2021-01-19,15,91
2021-01-19,16,77
2021-01-19,17,70
2021-01-19,18,70
2021-01-19,19,79
2021-01-19,20,93
2021-01-19,21,108
2021-01-19,22,120
2021-01-19,23,125
2021-01-20,0,121
2021-01-20,1,109
2021-01-20,2,93
2021-01-20,3,75
2021-01-20,4,61
2021-01-20,5,53
2021-01-20,6,53
2021-01-20,7,62
2021-01-20,8,76
2021-01-20,9,94
2021-01-20,10,110
2021-01-20,11,122
2021-01-20,12,127
2021-01-20,13,125
2021-01-20,14,116
2021-01-20,15,102
2021-01-20,16,88
2021-01-20,17,76
2021-01-20,18,70
2021-01-20,19,70
2021-01-20,20,77
2021-01-20,21,87
2021-01-20,22,99
2021-01-20,23,107
2021-01-21,0,111
2021-01-21,1,108
2021-01-21,2,100
2021-01-21,3,88
2021-01-21,4,77
2021-01-21,5,68
2021-01-21,6,65
2021-01-21,7,68
2021-01-21,8,77
2021-01-21,9,89
2021-01-21,10,103
2021-01-21,11,115
2021-01-21,12,123
2021-01-21,13,126
2021-01-21,14,122
2021-01-21,15,113
2021-01-21,16,101
2021-01-21,17,87
2021-01-21,18,76
2021-01-21,19,68
2021-01-21,20,67
2021-01-21,21,70
2021-01-21,22,78
2021-01-21,23,87
2021-01-22,0,95
2021-01-22,1,99
2021-01-22,2,100
2021-01-22,3,96
2021-01-22,4,90
2021-01-22,5,83
2021-01-22,6,78
2021-01-22,7,77
2021-01-22,8,80
2021-01-22,9,87
2021-01-22,10,97
2021-01-22,11,107
2021-01-22,12,117
2021-01-22,13,124
2021-01-22,14,126
2021-01-22,15,122
2021-01-22,16,113
2021-01-22,17,100
2021-01-22,18,86
2021-01-22,19,73
2021-01-22,20,63
2021-01-22,21,59
2021-01-22,22,60
2021-01-22,23,66
2021-01-23,0,75
2021-01-23,1,85
2021-01-23,2,93
2021-01-23,3,98
2021-01-23,4,98
2021-01-23,5,96
2021-01-23,6,92
2021-01-23,7,88
2021-01-23,8,86
2021-01-23,9,87
2021-01-23,10,92
2021-01-23,11,100
2021-01-23,12,110
2021-01-23,13,119
2021-01-23,14,126
2021-01-23,15,128
2021-01-23,16,124
2021-01-23,17,115
2021-01-23,18,100
2021-01-23,19,84
2021-01-23,20,67
2021-01-23,21,54
2021-01-23,22,47
2021-01-23,23,47
2021-01-24,0,55
2021-01-24,1,66
2021-01-24,2,80
2021-01-24,3,93
2021-01-24,4,101
2021-01-24,5,105
2021-01-24,6,104
2021-01-24,7,100
2021-01-24,8,95
2021-01-24,9,91
2021-01-24,10,90
2021-01-24,11,93
2021-01-24,12,101
2021-01-24,13,112
2021-01-24,14,123
2021-01-24,15,131
2021-01-24,16,133
2021-01-24,17,129
2021-01-24,18,117
2021-01-24,19,99
2021-01-24,20,78
2021-01-24,21,57
2021-01-24,22,41
2021-01-24,23,34
2021-01-25,0,35
2021-01-25,1,46
2021-01-25,2,63
2021-01-25,3,81
2021-01-25,4,98
2021-01-25,5,110
2021-01-25,6,114
2021-01-25,7,112
2021-01-25,8,105
2021-01-25,9,97
2021-01-25,10,90
2021-01-25,11,88
2021-01-25,12,93
2021-01-25,13,102
2021-01-25,14,116
2021-01-25,15,129
2021-01-25,16,139
2021-01-25,17,141
2021-01-25,18,134
2021-01-25,19,117
2021-01-25,20,94
2021-01-25,21,68
2021-01-25,22,44
2021-01-25,23,27
2021-01-26,0,20
2021-01-26,1,26
