d,t,l
2022-01-01,0,-8
2022-01-01,1,2
2022-01-01,2,26
2022-01-01,3,60
2022-01-01,4,95
2022-01-01,5,124
2022-01-01,6,142
2022-01-01,7,144
2022-01-01,8,133
2022-01-01,9,113
2022-01-01,10,91
2022-01-01,11,74
2022-01-01,12,69
2022-01-01,13,77
2022-01-01,14,97
2022-01-01,15,123
2022-01-01,16,149
2022-01-01,17,167
2022-01-01,18,170
2022-01-01,19,156
2022-01-01,20,126
2022-01-01,21,86
2022-01-01,22,43
2022-01-01,23,6
2022-01-02,0,-17
2022-01-02,1,-22
2022-01-02,2,-7
2022-01-02,3,22
2022-01-02,4,61
2022-01-02,5,100
2022-01-02,6,131
2022-01-02,7,149
2022-01-02,8,149
2022-01-02,9,135
2022-01-02,10,112
2022-01-02,11,88
2022-01-02,12,72
2022-01-02,13,68
2022-01-02,14,80
2022-01-02,15,103
2022-01-02,16,131
2022-01-02,17,158
2022-01-02,18,175
2022-01-02,19,176
2022-01-02,20,158
2022-01-02,21,123
2022-01-02,22,78
2022-01-02,23,31
2022-01-03,0,-6
2022-01-03,1,-27
2022-01-03,2,-28
2022-01-03,3,-10
2022-01-03,4,24
2022-01-03,5,66
2022-01-03,6,107
2022-01-03,7,137
2022-01-03,8,152
2022-01-03,9,149
2022-01-03,10,131
2022-01-03,11,106
2022-01-03,12,82
2022-01-03,13,68
2022-01-03,14,68
2022-01-03,15,82
2022-01-03,16,108
2022-01-03,17,139
2022-01-03,18,166
2022-01-03,19,181
2022-01-03,20,178
2022-01-03,21,155
2022-01-03,22,116
2022-01-03,23,69
2022-01-04,0,22
2022-01-04,1,-13
2022-01-04,2,-30
2022-01-04,3,-27
2022-01-04,4,-4
2022-01-04,5,32
2022-01-04,6,75
2022-01-04,7,114
2022-01-04,8,142
2022-01-04,9,152
2022-01-04,10,145
2022-01-04,11,124
2022-01-04,12,99
2022-01-04,13,76
2022-01-04,14,64
2022-01-04,15,68
2022-01-04,16,85
2022-01-04,17,113
2022-01-04,18,143
2022-01-04,19,169
2022-01-04,20,180
2022-01-04,21,174
2022-01-04,22,148
2022-01-04,23,107
2022-01-05,0,60
2022-01-05,1,17
2022-01-05,2,-14
2022-01-05,3,-26
2022-01-05,4,-17
2022-01-05,5,8
2022-01-05,6,45
2022-01-05,7,86
2022-01-05,8,121
2022-01-05,9,143
2022-01-05,10,149
2022-01-05,11,138
2022-01-05,12,115
2022-01-05,13,90
2022-01-05,14,70
2022-01-05,15,62
2022-01-05,16,69
2022-01-05,17,88
2022-01-05,18,116
2022-01-05,19,145
2022-01-05,20,166
2022-01-05,21,174
2022-01-05,22,164
2022-01-05,23,136
2022-01-06,0,97
2022-01-06,1,54
2022-01-06,2,16
2022-01-06,3,-8
2022-01-06,4,-13
2022-01-06,5,-1
2022-01-06,6,26
2022-01-06,7,61
2022-01-06,8,98
2022-01-06,9,127
2022-01-06,10,143
2022-01-06,11,143
2022-01-06,12,129
2022-01-06,13,106
2022-01-06,14,83
2022-01-06,15,66
2022-01-06,16,62
2022-01-06,17,70
2022-01-06,18,90
2022-01-06,19,116
2022-01-06,20,141
2022-01-06,21,158
2022-01-06,22,162
2022-01-06,23,150
2022-01-07,0,123
2022-01-07,1,87
2022-01-07,2,50
2022-01-07,3,21
2022-01-07,4,4
2022-01-07,5,4
2022-01-07,6,20
2022-01-07,7,46
2022-01-07,8,78
2022-01-07,9,108
2022-01-07,10,130
2022-01-07,11,140
2022-01-07,12,136
2022-01-07,13,120
2022-01-07,14,98
2022-01-07,15,78
2022-01-07,16,64
2022-01-07,17,62
2022-01-07,18,71
2022-01-07,19,90
2022-01-07,20,112
2022-01-07,21,133
2022-01-07,22,146
2022-01-07,23,146
2022-01-08,0,133
2022-01-08,1,109
2022-01-08,2,79
2022-01-08,3,51
2022-01-08,4,30
2022-01-08,5,21
2022-01-08,6,25
2022-01-08,7,42
2022-01-08,8,66
2022-01-08,9,92
2022-01-08,10,116
2022-01-08,11,132
2022-01-08,12,136
2022-01-08,13,129
2022-01-08,14,113
2022-01-08,15,93
2022-01-08,16,75
2022-01-08,17,64
2022-01-08,18,63
2022-01-08,19,71
2022-01-08,20,86
2022-01-08,21,105
2022-01-08,22,121
2022-01-08,23,130
2022-01-09,0,129
2022-01-09,1,118
2022-01-09,2,98
2022-01-09,3,76
2022-01-09,4,56
2022-01-09,5,43
2022-01-09,6,39
2022-01-09,7,46
2022-01-09,8,62
2022-01-09,9,82
2022-01-09,10,103
2022-01-09,11,121
2022-01-09,12,131
2022-01-09,13,132
2022-01-09,14,123
2022-01-09,15,108
2022-01-09,16,90
2022-01-09,17,74
2022-01-09,18,64
2022-01-09,19,62
2022-01-09,20,68
2022-01-09,21,80
2022-01-09,22,94
2022-01-09,23,106
2022-01-10,0,114
2022-01-10,1,114
2022-01-10,2,106
2022-01-10,3,93
2022-01-10,4,78
2022-01-10,5,65
2022-01-10,6,57
2022-01-10,7,57
2022-01-10,8,64
2022-01-10,9,77
2022-01-10,10,93
2022-01-10,11,110
2022-01-10,12,123
2022-01-10,13,130
2022-01-10,14,129
2022-01-10,15,120
2022-01-10,16,105
2022-01-10,17,88
2022-01-10,18,72
2022-01-10,19,62
2022-01-10,20,58
2022-01-10,21,61
2022-01-10,22,70
2022-01-10,23,82
2022-01-11,0,93
2022-01-11,1,101
2022-01-11,2,104
2022-01-11,3,101
2022-01-11,4,93
2022-01-11,5,84
2022-01-11,6,76
2022-01-11,7,71
2022-01-11,8,71
2022-01-11,9,77
2022-01-11,10,87
2022-01-11,11,100
2022-01-11,12,113
2022-01-11,13,124
2022-01-11,14,129
2022-01-11,15,127
2022-01-11,16,118
2022-01-11,17,104
2022-01-11,18,86
2022-01-11,19,69
2022-01-11,20,57
2022-01-11,21,51
2022-01-11,22,52
2022-01-11,23,59
2022-01-12,0,70
2022-01-12,1,83
2022-01-12,2,94
2022-01-12,3,100
2022-01-12,4,102
2022-01-12,5,99
2022-01-12,6,93
2022-01-12,7,86
2022-01-12,8,82
2022-01-12,9,80
2022-01-12,10,84
2022-01-12,11,92
2022-01-12,12,103
2022-01-12,13,115
2022-01-12,14,125
2022-01-12,15,130
2022-01-12,16,128
2022-01-12,17,118
2022-01-12,18,102
2022-01-12,19,83
2022-01-12,20,63
2022-01-12,21,48
2022-01-12,22,40
2022-01-12,23,41
2022-01-13,0,49
2022-01-13,1,62
2022-01-13,2,78
2022-01-13,3,93
2022-01-13,4,103
2022-01-13,5,108
2022-01-13,6,107
2022-01-13,7,101
2022-01-13,8,93
2022-01-13,9,87
2022-01-13,10,84
2022-01-13,11,86
2022-01-13,12,93
2022-01-13,13,105
2022-01-13,14,118
2022-01-13,15,129
2022-01-13,16,134
2022-01-13,17,131
2022-01-13,18,119
2022-01-13,19,99
2022-01-13,20,76
2022-01-13,21,53
2022-01-13,22,36
2022-01-13,23,28
2022-01-14,0,30
2022-01-14,1,42
2022-01-14,2,60
2022-01-14,3,80
2022-01-14,4,98
2022-01-14,5,111
2022-01-14,6,116
2022-01-14,7,114
2022-01-14,8,106
2022-01-14,9,96
2022-01-14,10,87
2022-01-14,11,83
2022-01-14,12,85
2022-01-14,13,94
2022-01-14,14,108
2022-01-14,15,123
2022-01-14,16,135
2022-01-14,17,139
2022-01-14,18,133
2022-01-14,19,117
2022-01-14,20,93
2022-01-14,21,65
2022-01-14,22,40
2022-01-14,23,23
2022-01-15,0,17
2022-01-15,1,23
2022-01-15,2,40
2022-01-15,3,63
2022-01-15,4,87
2022-01-15,5,108
2022-01-15,6,121
2022-01-15,7,123
2022-01-15,8,117
2022-01-15,9,106
2022-01-15,10,92
2022-01-15,11,82
2022-01-15,12,79
2022-01-15,13,84
2022-01-15,14,97
2022-01-15,15,114
2022-01-15,16,131
2022-01-15,17,143
2022-01-15,18,145
2022-01-15,19,134
2022-01-15,20,112
2022-01-15,21,83
2022-01-15,22,51
2022-01-15,23,25
2022-01-16,0,10
2022-01-16,1,9
2022-01-16,2,21
2022-01-16,3,44
2022-01-16,4,72
2022-01-16,5,99
2022-01-16,6,119
2022-01-16,7,129
2022-01-16,8,127
2022-01-16,9,116
2022-01-16,10,100
2022-01-16,11,85
2022-01-16,12,76
2022-01-16,13,76
2022-01-16,14,86
2022-01-16,15,103
2022-01-16,16,124
2022-01-16,17,142
2022-01-16,18,151
2022-01-16,19,148
2022-01-16,20,132
2022-01-16,21,103
2022-01-16,22,69
2022-01-16,23,36
2022-01-17,0,11
2022-01-17,1,1
2022-01-17,2,6
2022-01-17,3,25
2022-01-17,4,54
2022-01-17,5,85
2022-01-17,6,112
2022-01-17,7,129
2022-01-17,8,133
2022-01-17,9,125
2022-01-17,10,109
2022-01-17,11,91
2022-01-17,12,77
2022-01-17,13,71
2022-01-17,14,76
2022-01-17,15,91
2022-01-17,16,113
2022-01-17,17,135
2022-01-17,18,152
2022-01-17,19,157
2022-01-17,20,148
2022-01-17,21,124
2022-01-17,22,90
2022-01-17,23,53
2022-01-18,0,20
2022-01-18,1,0
2022-01-18,2,-3
2022-01-18,3,10
2022-01-18,4,36
2022-01-18,5,69
2022-01-18,6,100
2022-01-18,7,124
2022-01-18,8,136
2022-01-18,9,133
2022-01-18,10,119
2022-01-18,11,99
2022-01-18,12,80
2022-01-18,13,69
2022-01-18,14,68
2022-01-18,15,79
