d,t,l
2020-01-01,0,131
2020-01-01,1,114
2020-01-01,2,89
2020-01-01,3,62
2020-01-01,4,39
2020-01-01,5,25
2020-01-01,6,24
2020-01-01,7,34
2020-01-01,8,52
2020-01-01,9,75
2020-01-01,10,98
2020-01-01,11,117
2020-01-01,12,127
2020-01-01,13,127
2020-01-01,14,119
2020-01-01,15,104
2020-01-01,16,89
2020-01-01,17,78
2020-01-01,18,75
2020-01-01,19,80
2020-01-01,20,90
2020-01-01,21,104
2020-01-01,22,117
2020-01-01,23,126
2020-01-02,0,128
2020-01-02,1,121
2020-01-02,2,106
2020-01-02,3,85
2020-01-02,4,63
2020-01-02,5,45
2020-01-02,6,37
2020-01-02,7,39
2020-01-02,8,49
2020-01-02,9,67
2020-01-02,10,87
2020-01-02,11,106
2020-01-02,12,120
2020-01-02,13,126
2020-01-02,14,123
2020-01-02,15,112
2020-01-02,16,97
2020-01-02,17,83
2020-01-02,18,73
2020-01-02,19,70
2020-01-02,20,75
2020-01-02,21,85
2020-01-02,22,98
2020-01-02,23,110
2020-01-03,0,118
2020-01-03,1,121
2020-01-03,2,115
2020-01-03,3,102
2020-01-03,4,84
2020-01-03,5,66
2020-01-03,6,53
2020-01-03,7,48
2020-01-03,8,52
2020-01-03,9,63
2020-01-03,10,79
2020-01-03,11,98
2020-01-03,12,114
2020-01-03,13,124
2020-01-03,14,127
2020-01-03,15,121
2020-01-03,16,108
2020-01-03,17,91
2020-01-03,18,75
2020-01-03,19,64
2020-01-03,20,61
2020-01-03,21,65
2020-01-03,22,76
2020-01-03,23,89
2020-01-04,0,103
2020-01-04,1,113
2020-01-04,2,116
2020-01-04,3,113
2020-01-04,4,102
2020-01-04,5,87
2020-01-04,6,71
2020-01-04,7,60
2020-01-04,8,57
2020-01-04,9,62
2020-01-04,10,74
2020-01-04,11,90
2020-01-04,12,108
2020-01-04,13,122
2020-01-04,14,131
2020-01-04,15,130
2020-01-04,16,121
2020-01-04,17,104
2020-01-04,18,84
2020-01-04,19,65
2020-01-04,20,52
2020-01-04,21,48
2020-01-04,22,53
2020-01-04,23,65
2020-01-05,0,81
2020-01-05,1,97
2020-01-05,2,110
2020-01-05,3,116
2020-01-05,4,115
2020-01-05,5,105
2020-01-05,6,91
2020-01-05,7,76
2020-01-05,8,66
2020-01-05,9,63
2020-01-05,10,69
2020-01-05,11,82
2020-01-05,12,100
2020-01-05,13,118
2020-01-05,14,132
2020-01-05,15,139
2020-01-05,16,135
2020-01-05,17,122
2020-01-05,18,100
2020-01-05,19,75
2020-01-05,20,53
2020-01-05,21,38
2020-01-05,22,33
2020-01-05,23,39
2020-01-06,0,54
2020-01-06,1,74
2020-01-06,2,94
2020-01-06,3,111
2020-01-06,4,120
2020-01-06,5,120
2020-01-06,6,111
2020-01-06,7,96
2020-01-06,8,80
2020-01-06,9,68
2020-01-06,10,66
2020-01-06,11,73
2020-01-06,12,88
2020-01-06,13,108
2020-01-06,14,127
2020-01-06,15,142
2020-01-06,16,148
2020-01-06,17,141
2020-01-06,18,123
2020-01-06,19,96
2020-01-06,20,65
2020-01-06,21,38
2020-01-06,22,21
2020-01-06,23,17
2020-01-07,0,26
2020-01-07,1,45
2020-01-07,2,69
2020-01-07,3,95
2020-01-07,4,116
2020-01-07,5,127
2020-01-07,6,127
2020-01-07,7,117
2020-01-07,8,99
2020-01-07,9,81
2020-01-07,10,69
2020-01-07,11,67
2020-01-07,12,76
2020-01-07,13,93
2020-01-07,14,115
2020-01-07,15,137
2020-01-07,16,152
2020-01-07,17,157
2020-01-07,18,147
2020-01-07,19,123
2020-01-07,20,90
2020-01-07,21,54
2020-01-07,22,24
2020-01-07,23,5
2020-01-08,0,2
2020-01-08,1,14
2020-01-08,2,38
2020-01-08,3,68
2020-01-08,4,99
2020-01-08,5,123
2020-01-08,6,136
2020-01-08,7,135
2020-01-08,8,121
2020-01-08,9,101
2020-01-08,10,81
2020-01-08,11,68
2020-01-08,12,66
2020-01-08,13,77
2020-01-08,14,98
2020-01-08,15,123
2020-01-08,16,146
2020-01-08,17,162
2020-01-08,18,164
2020-01-08,19,150
2020-01-08,20,121
2020-01-08,21,82
2020-01-08,22,42
2020-01-08,23,9
2020-01-09,0,-9
2020-01-09,1,-9
2020-01-09,2,7
2020-01-09,3,36
2020-01-09,4,71
2020-01-09,5,105
2020-01-09,6,131
2020-01-09,7,143
2020-01-09,8,140
2020-01-09,9,123
2020-01-09,10,100
2020-01-09,11,79
2020-01-09,12,66
2020-01-09,13,66
2020-01-09,14,79
2020-01-09,15,103
2020-01-09,16,130
2020-01-09,17,154
2020-01-09,18,168
2020-01-09,19,168
2020-01-09,20,150
2020-01-09,21,116
2020-01-09,22,73
2020-01-09,23,31
2020-01-10,0,-2
2020-01-10,1,-18
2020-01-10,2,-15
2020-01-10,3,6
2020-01-10,4,39
2020-01-10,5,77
2020-01-10,6,112
2020-01-10,7,138
2020-01-10,8,148
2020-01-10,9,142
2020-01-10,10,122
2020-01-10,11,97
2020-01-10,12,75
2020-01-10,13,64
2020-01-10,14,67
2020-01-10,15,82
2020-01-10,16,107
2020-01-10,17,135
2020-01-10,18,159
2020-01-10,19,172
2020-01-10,20,168
2020-01-10,21,145
2020-01-10,22,108
2020-01-10,23,63
2020-01-11,0,21
2020-01-11,1,-9
2020-01-11,2,-22
2020-01-11,3,-14
2020-01-11,4,10
2020-01-11,5,45
2020-01-11,6,85
2020-01-11,7,119
2020-01-11,8,142
2020-01-11,9,149
2020-01-11,10,140
2020-01-11,11,118
2020-01-11,12,93
2020-01-11,13,72
2020-01-11,14,63
2020-01-11,15,68
2020-01-11,16,86
2020-01-11,17,112
2020-01-11,18,140
2020-01-11,19,161
2020-01-11,20,170
2020-01-11,21,163
2020-01-11,22,137
2020-01-11,23,98
2020-01-12,0,54
2020-01-12,1,15
2020-01-12,2,-11
2020-01-12,3,-19
2020-01-12,4,-7
2020-01-12,5,19
2020-01-12,6,55
2020-01-12,7,93
2020-01-12,8,125
2020-01-12,9,144
2020-01-12,10,147
2020-01-12,11,134
2020-01-12,12,112
2020-01-12,13,88
2020-01-12,14,70
2020-01-12,15,64
2020-01-12,16,72
2020-01-12,17,91
2020-01-12,18,116
2020-01-12,19,141
2020-01-12,20,159
2020-01-12,21,165
2020-01-12,22,154
2020-01-12,23,127
2020-01-13,0,88
2020-01-13,1,47
2020-01-13,2,13
2020-01-13,3,-7
2020-01-13,4,-10
2020-01-13,5,5
2020-01-13,6,33
2020-01-13,7,67
2020-01-13,8,101
2020-01-13,9,128
2020-01-13,10,142
2020-01-13,11,141
2020-01-13,12,126
2020-01-13,13,104
2020-01-13,14,82
2020-01-13,15,68
2020-01-13,16,66
2020-01-13,17,75
2020-01-13,18,94
2020-01-13,19,118
2020-01-13,20,140
2020-01-13,21,154
2020-01-13,22,155
2020-01-13,23,142
2020-01-14,0,115
2020-01-14,1,79
2020-01-14,2,44
2020-01-14,3,16
2020-01-14,4,2
2020-01-14,5,5
2020-01-14,6,21
2020-01-14,7,48
2020-01-14,8,79
2020-01-14,9,108
2020-01-14,10,129
2020-01-14,11,138
2020-01-14,12,133
2020-01-14,13,117
2020-01-14,14,96
2020-01-14,15,78
2020-01-14,16,67
2020-01-14,17,68
2020-01-14,18,79
2020-01-14,19,97
2020-01-14,20,117
2020-01-14,21,135
2020-01-14,22,145
2020-01-14,23,143
