d,t,l
2022-01-01,0,-5
2022-01-01,1,6
2022-01-01,2,31
2022-01-01,3,66
2022-01-01,4,102
2022-01-01,5,132
2022-01-01,6,149
2022-01-01,7,150
2022-01-01,8,137
2022-01-01,9,116
2022-01-01,10,93
2022-01-01,11,77
2022-01-01,12,71
2022-01-01,13,80
2022-01-01,14,101
2022-01-01,15,128
2022-01-01,16,156
2022-01-01,17,175
2022-01-01,18,179
2022-01-01,19,166
2022-01-01,20,135
2022-01-01,21,94
2022-01-01,22,49
2022-01-01,23,11
2022-01-02,0,-12
2022-01-02,1,-16
2022-01-02,2,-1
2022-01-02,3,30
2022-01-02,4,70
2022-01-02,5,109
2022-01-02,6,139
2022-01-02,7,154
2022-01-02,8,153
2022-01-02,9,137
2022-01-02,10,113
2022-01-02,11,89
2022-01-02,12,74
2022-01-02,13,71
2022-01-02,14,83
2022-01-02,15,108
2022-01-02,16,138
2022-01-02,17,167
2022-01-02,18,184
2022-01-02,19,184
2022-01-02,20,165
2022-01-02,21,129
2022-01-02,22,83
2022-01-02,23,36
2022-01-03,0,-1
2022-01-03,1,-22
2022-01-03,2,-21
2022-01-03,3,-1
2022-01-03,4,35
2022-01-03,5,78
2022-01-03,6,118
2022-01-03,7,146
2022-01-03,8,157
2022-01-03,9,151
2022-01-03,10,132
2022-01-03,11,106
2022-01-03,12,83
2022-01-03,13,70
2022-01-03,14,71
2022-01-03,15,88
2022-01-03,16,116
2022-01-03,17,148
2022-01-03,18,175
2022-01-03,19,189
2022-01-03,20,184
2022-01-03,21,159
2022-01-03,22,119
2022-01-03,23,71
2022-01-04,0,25
2022-01-04,1,-9
2022-01-04,2,-25
2022-01-04,3,-18
2022-01-04,4,7
2022-01-04,5,46
2022-01-04,6,89
2022-01-04,7,127
2022-01-04,8,151
2022-01-04,9,157
2022-01-04,10,146
2022-01-04,11,124
2022-01-04,12,98
2022-01-04,13,76
2022-01-04,14,66
2022-01-04,15,72
2022-01-04,16,92
2022-01-04,17,122
2022-01-04,18,154
2022-01-04,19,179
2022-01-04,20,188
2022-01-04,21,178
2022-01-04,22,150
2022-01-04,23,108
2022-01-05,0,60
2022-01-05,1,18
2022-01-05,2,-11
2022-01-05,3,-20
2022-01-05,4,-8
2022-01-05,5,21
2022-01-05,6,61
2022-01-05,7,102
2022-01-05,8,135
2022-01-05,9,153
2022-01-05,10,153
2022-01-05,11,138
2022-01-05,12,114
2022-01-05,13,89
2022-01-05,14,70
2022-01-05,15,64
2022-01-05,16,74
2022-01-05,17,97
2022-01-05,18,127
2022-01-05,19,157
2022-01-05,20,177
2022-01-05,21,181
2022-01-05,22,168
2022-01-05,23,137
2022-01-06,0,96
2022-01-06,1,52
2022-01-06,2,16
2022-01-06,3,-6
2022-01-06,4,-9
2022-01-06,5,8
2022-01-06,6,39
2022-01-06,7,77
2022-01-06,8,114
2022-01-06,9,140
2022-01-06,10,151
2022-01-06,11,147
2022-01-06,12,129
2022-01-06,13,105
