d,t,l
2020-01-01,0,125
2020-01-01,1,97
2020-01-01,2,66
2020-01-01,3,40
2020-01-01,4,25
2020-01-01,5,24
2020-01-01,6,36
2020-01-01,7,60
2020-01-01,8,89
2020-01-01,9,117
2020-01-01,10,138
2020-01-01,11,147
2020-01-01,12,145
2020-01-01,13,131
2020-01-01,14,112
2020-01-01,15,92
2020-01-01,16,77
2020-01-01,17,71
2020-01-01,18,75
2020-01-01,19,89
2020-01-01,20,107
2020-01-01,21,125
2020-01-01,22,138
2020-01-01,23,141
2020-01-02,0,133
2020-01-02,1,116
2020-01-02,2,92
2020-01-02,3,67
2020-01-02,4,48
2020-01-02,5,37
2020-01-02,6,39
2020-01-02,7,52
2020-01-02,8,73
2020-01-02,9,98
2020-01-02,10,122
2020-01-02,11,138
2020-01-02,12,145
2020-01-02,13,140
2020-01-02,14,127
2020-01-02,15,109
2020-01-02,16,90
2020-01-02,17,76
2020-01-02,18,70
2020-01-02,19,73
2020-01-02,20,83
2020-01-02,21,99
2020-01-02,22,114
2020-01-02,23,125
2020-01-03,0,129
2020-01-03,1,124
2020-01-03,2,111
2020-01-03,3,93
2020-01-03,4,73
2020-01-03,5,58
2020-01-03,6,51
2020-01-03,7,53
2020-01-03,8,64
2020-01-03,9,83
2020-01-03,10,105
2020-01-03,11,125
2020-01-03,12,139
2020-01-03,13,143
2020-01-03,14,139
2020-01-03,15,125
2020-01-03,16,107
2020-01-03,17,89
2020-01-03,18,73
2020-01-03,19,65
2020-01-03,20,65
2020-01-03,21,73
2020-01-03,22,87
2020-01-03,23,102
2020-01-04,0,114
2020-01-04,1,121
2020-01-04,2,120
2020-01-04,3,112
2020-01-04,4,98
2020-01-04,5,83
2020-01-04,6,70
2020-01-04,7,63
2020-01-04,8,64
2020-01-04,9,73
2020-01-04,10,90
2020-01-04,11,109
2020-01-04,12,127
2020-01-04,13,140
2020-01-04,14,144
2020-01-04,15,139
2020-01-04,16,126
2020-01-04,17,107
2020-01-04,18,86
2020-01-04,19,68
2020-01-04,20,57
2020-01-04,21,54
2020-01-04,22,61
2020-01-04,23,74
2020-01-05,0,90
2020-01-05,1,106
2020-01-05,2,117
2020-01-05,3,121
2020-01-05,4,117
2020-01-05,5,106
2020-01-05,6,93
2020-01-05,7,80
2020-01-05,8,72
2020-01-05,9,71
2020-01-05,10,79
2020-01-05,11,94
2020-01-05,12,112
2020-01-05,13,130
2020-01-05,14,143
2020-01-05,15,148
2020-01-05,16,142
2020-01-05,17,127
2020-01-05,18,105
2020-01-05,19,80
2020-01-05,20,59
2020-01-05,21,44
2020-01-05,22,40
2020-01-05,23,47
2020-01-06,0,62
2020-01-06,1,83
2020-01-06,2,103
2020-01-06,3,118
2020-01-06,4,126
2020-01-06,5,124
2020-01-06,6,115
2020-01-06,7,101
2020-01-06,8,86
2020-01-06,9,76
2020-01-06,10,74
2020-01-06,11,82
2020-01-06,12,97
2020-01-06,13,117
2020-01-06,14,136
2020-01-06,15,150
2020-01-06,16,153
2020-01-06,17,145
2020-01-06,18,126
2020-01-06,19,100
2020-01-06,20,71
2020-01-06,21,46
2020-01-06,22,30
2020-01-06,23,26
2020-01-07,0,35
2020-01-07,1,55
2020-01-07,2,80
2020-01-07,3,105
2020-01-07,4,125
2020-01-07,5,134
2020-01-07,6,133
2020-01-07,7,122
2020-01-07,8,105
2020-01-07,9,88
2020-01-07,10,77
2020-01-07,11,75
2020-01-07,12,83
2020-01-07,13,101
2020-01-07,14,123
2020-01-07,15,144
2020-01-07,16,157
2020-01-07,17,159
2020-01-07,18,147
2020-01-07,19,123
2020-01-07,20,91
2020-01-07,21,58
2020-01-07,22,31
2020-01-07,23,15
2020-01-08,0,13
2020-01-08,1,27
2020-01-08,2,53
2020-01-08,3,84
2020-01-08,4,113
2020-01-08,5,134
2020-01-08,6,143
2020-01-08,7,139
2020-01-08,8,125
2020-01-08,9,105
2020-01-08,10,86
2020-01-08,11,75
2020-01-08,12,74
2020-01-08,13,85
2020-01-08,14,106
2020-01-08,15,131
2020-01-08,16,153
2020-01-08,17,165
2020-01-08,18,164
2020-01-08,19,146
2020-01-08,20,116
2020-01-08,21,79
2020-01-08,22,43
2020-01-08,23,15
2020-01-09,0,2
2020-01-09,1,6
2020-01-09,2,26
2020-01-09,3,57
2020-01-09,4,92
2020-01-09,5,124
2020-01-09,6,144
2020-01-09,7,150
2020-01-09,8,142
2020-01-09,9,123
2020-01-09,10,100
2020-01-09,11,81
2020-01-09,12,71
2020-01-09,13,74
2020-01-09,14,89
2020-01-09,15,114
2020-01-09,16,141
2020-01-09,17,163
2020-01-09,18,172
2020-01-09,19,165
2020-01-09,20,141
2020-01-09,21,105
2020-01-09,22,64
2020-01-09,23,27
2020-01-10,0,1
2020-01-10,1,-7
2020-01-10,2,4
2020-01-10,3,31
2020-01-10,4,67
2020-01-10,5,105
2020-01-10,6,136
2020-01-10,7,153
2020-01-10,8,154
2020-01-10,9,140
2020-01-10,10,117
2020-01-10,11,92
2020-01-10,12,74
2020-01-10,13,67
2020-01-10,14,75
2020-01-10,15,96
2020-01-10,16,124
2020-01-10,17,151
2020-01-10,18,170
2020-01-10,19,175
2020-01-10,20,161
2020-01-10,21,131
2020-01-10,22,91
2020-01-10,23,48
2020-01-11,0,13
2020-01-11,1,-8
2020-01-11,2,-9
2020-01-11,3,9
2020-01-11,4,42
2020-01-11,5,82
2020-01-11,6,119
2020-01-11,7,146
2020-01-11,8,158
2020-01-11,9,152
2020-01-11,10,133
2020-01-11,11,108
2020-01-11,12,83
2020-01-11,13,67
2020-01-11,14,65
2020-01-11,15,79
2020-01-11,16,103
2020-01-11,17,133
2020-01-11,18,160
2020-01-11,19,175
2020-01-11,20,173
2020-01-11,21,153
2020-01-11,22,118
2020-01-11,23,75
2020-01-12,0,34
2020-01-12,1,3
2020-01-12,2,-10
2020-01-12,3,-4
2020-01-12,4,21
2020-01-12,5,58
2020-01-12,6,98
2020-01-12,7,132
2020-01-12,8,154
2020-01-12,9,158
2020-01-12,10,147
2020-01-12,11,123
2020-01-12,12,96
2020-01-12,13,74
2020-01-12,14,62
2020-01-12,15,66
2020-01-12,16,84
2020-01-12,17,112
2020-01-12,18,141
2020-01-12,19,164
2020-01-12,20,174
2020-01-12,21,166
2020-01-12,22,141
2020-01-12,23,103
2020-01-13,0,61
2020-01-13,1,24
2020-01-13,2,0
2020-01-13,3,-6
2020-01-13,4,8
2020-01-13,5,37
2020-01-13,6,76
2020-01-13,7,113
2020-01-13,8,143
2020-01-13,9,157
2020-01-13,10,154
2020-01-13,11,137
2020-01-13,12,112
2020-01-13,13,86
2020-01-13,14,66
2020-01-13,15,60
2020-01-13,16,69
2020-01-13,17,90
