d,t,l
2023-01-01,0,96
2023-01-01,1,112
2023-01-01,2,122
2023-01-01,3,123
2023-01-01,4,116
2023-01-01,5,103
2023-01-01,6,88
2023-01-01,7,75
2023-01-01,8,68
2023-01-01,9,69
2023-01-01,10,79
2023-01-01,11,95
2023-01-01,12,115
2023-01-01,13,133
2023-01-01,14,145
2023-01-01,15,148
2023-01-01,16,140
2023-01-01,17,123
2023-01-01,18,100
2023-01-01,19,76
2023-01-01,20,56
2023-01-01,21,44
2023-01-01,22,41
2023-01-01,23,49
2023-01-02,0,64
2023-01-02,1,84
2023-01-02,2,103
2023-01-02,3,117
2023-01-02,4,123
2023-01-02,5,120
2023-01-02,6,110
2023-01-02,7,97
2023-01-02,8,84
2023-01-02,9,77
2023-01-02,10,78
2023-01-02,11,86
2023-01-02,12,101
2023-01-02,13,120
2023-01-02,14,138
2023-01-02,15,150
2023-01-02,16,152
2023-01-02,17,142
2023-01-02,18,123
2023-01-02,19,97
2023-01-02,20,70
2023-01-02,21,47
2023-01-02,22,32
2023-01-02,23,29
2023-01-03,0,37
2023-01-03,1,54
2023-01-03,2,77
2023-01-03,3,99
2023-01-03,4,117
2023-01-03,5,126
2023-01-03,6,125
2023-01-03,7,116
2023-01-03,8,103
2023-01-03,9,90
2023-01-03,10,83
2023-01-03,11,83
2023-01-03,12,91
2023-01-03,13,107
2023-01-03,14,126
2023-01-03,15,144
2023-01-03,16,155
2023-01-03,17,156
2023-01-03,18,144
2023-01-03,19,121
2023-01-03,20,91
2023-01-03,21,61
2023-01-03,22,36
2023-01-03,23,20
2023-01-04,0,18
2023-01-04,1,29
2023-01-04,2,49
2023-01-04,3,76
2023-01-04,4,102
2023-01-04,5,121
2023-01-04,6,131
2023-01-04,7,129
2023-01-04,8,119
2023-01-04,9,105
2023-01-04,10,92
2023-01-04,11,84
2023-01-04,12,85
2023-01-04,13,95
2023-01-04,14,113
2023-01-04,15,133
2023-01-04,16,151
2023-01-04,17,161
2023-01-04,18,158
2023-01-04,19,142
2023-01-04,20,114
2023-01-04,21,81
2023-01-04,22,49
2023-01-04,23,23
2023-01-05,0,10
2023-01-05,1,11
2023-01-05,2,26
2023-01-05,3,52
2023-01-05,4,81
2023-01-05,5,109
2023-01-05,6,128
2023-01-05,7,136
2023-01-05,8,132
2023-01-05,9,119
2023-01-05,10,103
2023-01-05,11,90
2023-01-05,12,83
2023-01-05,13,87
2023-01-05,14,100
2023-01-05,15,120
2023-01-05,16,141
2023-01-05,17,158
2023-01-05,18,164
2023-01-05,19,157
2023-01-05,20,135
2023-01-05,21,104
2023-01-05,22,68
2023-01-05,23,35
2023-01-06,0,12
2023-01-06,1,3
2023-01-06,2,10
2023-01-06,3,31
2023-01-06,4,60
2023-01-06,5,92
2023-01-06,6,119
2023-01-06,7,135
2023-01-06,8,139
2023-01-06,9,131
2023-01-06,10,115
2023-01-06,11,98
2023-01-06,12,86
2023-01-06,13,82
2023-01-06,14,89
2023-01-06,15,106
2023-01-06,16,128
2023-01-06,17,150
2023-01-06,18,164
2023-01-06,19,165
2023-01-06,20,151
2023-01-06,21,124
2023-01-06,22,89
2023-01-06,23,52
2023-01-07,0,22
2023-01-07,1,3
2023-01-07,2,1
2023-01-07,3,15
2023-01-07,4,41
2023-01-07,5,74
2023-01-07,6,106
2023-01-07,7,129
2023-01-07,8,141
2023-01-07,9,139
2023-01-07,10,126
2023-01-07,11,108
2023-01-07,12,91
2023-01-07,13,81
2023-01-07,14,82
2023-01-07,15,94
2023-01-07,16,114
2023-01-07,17,137
2023-01-07,18,157
2023-01-07,19,166
2023-01-07,20,161
2023-01-07,21,141
2023-01-07,22,110
2023-01-07,23,72
2023-01-08,0,37
2023-01-08,1,11
2023-01-08,2,0
2023-01-08,3,5
2023-01-08,4,26
2023-01-08,5,57
2023-01-08,6,91
2023-01-08,7,120
2023-01-08,8,138
2023-01-08,9,143
2023-01-08,10,135
2023-01-08,11,119
2023-01-08,12,99
2023-01-08,13,84
2023-01-08,14,78
2023-01-08,15,84
2023-01-08,16,100
2023-01-08,17,123
2023-01-08,18,145
2023-01-08,19,161
2023-01-08,20,165
2023-01-08,21,153
2023-01-08,22,127
2023-01-08,23,93
2023-01-09,0,55
2023-01-09,1,24
2023-01-09,2,5
2023-01-09,3,2
2023-01-09,4,15
2023-01-09,5,42
