d,t,l
2020-01-01,0,139
2020-01-01,1,116
2020-01-01,2,87
2020-01-01,3,62
2020-01-01,4,46
2020-01-01,5,39
2020-01-01,6,41
2020-01-01,7,57
2020-01-01,8,84
2020-01-01,9,111
2020-01-01,10,133
2020-01-01,11,149
2020-01-01,12,154
2020-01-01,13,146
2020-01-01,14,128
2020-01-01,15,108
2020-01-01,16,93
2020-01-01,17,84
2020-01-01,18,80
2020-01-01,19,87
2020-01-01,20,103
2020-01-01,21,121
2020-01-01,22,134
2020-01-01,23,141
2020-01-02,0,141
2020-01-02,1,129
2020-01-02,2,107
2020-01-02,3,84
2020-01-02,4,66
2020-01-02,5,54
2020-01-02,6,50
2020-01-02,7,56
2020-01-02,8,74
2020-01-02,9,97
2020-01-02,10,120
2020-01-02,11,138
2020-01-02,12,150
2020-01-02,13,151
2020-01-02,14,140
2020-01-02,15,122
2020-01-02,16,104
2020-01-02,17,90
2020-01-02,18,80
2020-01-02,19,78
2020-01-02,20,86
2020-01-02,21,100
2020-01-02,22,115
2020-01-02,23,126
2020-01-03,0,133
2020-01-03,1,132
2020-01-03,2,121
2020-01-03,3,103
2020-01-03,4,86
2020-01-03,5,72
2020-01-03,6,63
2020-01-03,7,62
2020-01-03,8,71
2020-01-03,9,88
2020-01-03,10,108
2020-01-03,11,127
2020-01-03,12,142
2020-01-03,13,150
2020-01-03,14,147
2020-01-03,15,134
2020-01-03,16,118
2020-01-03,17,100
2020-01-03,18,85
2020-01-03,19,75
2020-01-03,20,74
2020-01-03,21,82
2020-01-03,22,94
2020-01-03,23,107
2020-01-04,0,120
2020-01-04,1,127
2020-01-04,2,126
2020-01-04,3,118
2020-01-04,4,105
2020-01-04,5,92
2020-01-04,6,80
2020-01-04,7,74
2020-01-04,8,75
2020-01-04,9,84
2020-01-04,10,98
2020-01-04,11,115
2020-01-04,12,133
2020-01-04,13,146
2020-01-04,14,150
2020-01-04,15,145
2020-01-04,16,132
2020-01-04,17,115
2020-01-04,18,95
2020-01-04,19,79
2020-01-04,20,70
2020-01-04,21,68
2020-01-04,22,73
2020-01-04,23,85
2020-01-05,0,101
2020-01-05,1,116
2020-01-05,2,124
2020-01-05,3,126
2020-01-05,4,122
2020-01-05,5,112
2020-01-05,6,100
2020-01-05,7,89
2020-01-05,8,84
2020-01-05,9,85
2020-01-05,10,91
2020-01-05,11,104
2020-01-05,12,122
2020-01-05,13,138
2020-01-05,14,148
2020-01-05,15,150
2020-01-05,16,146
2020-01-05,17,132
2020-01-05,18,111
2020-01-05,19,89
2020-01-05,20,72
2020-01-05,21,61
2020-01-05,22,57
2020-01-05,23,62
2020-01-06,0,78
2020-01-06,1,98
2020-01-06,2,114
2020-01-06,3,126
2020-01-06,4,132
2020-01-06,5,132
2020-01-06,6,122
2020-01-06,7,108
2020-01-06,8,98
2020-01-06,9,92
2020-01-06,10,90
2020-01-06,11,94
2020-01-06,12,108
2020-01-06,13,127
2020-01-06,14,143
2020-01-06,15,152
2020-01-06,16,156
2020-01-06,17,151
2020-01-06,18,133
2020-01-06,19,107
2020-01-06,20,82
2020-01-06,21,62
2020-01-06,22,47
2020-01-06,23,42
2020-01-07,0,51
2020-01-07,1,73
2020-01-07,2,98
2020-01-07,3,118
2020-01-07,4,135
2020-01-07,5,145
2020-01-07,6,144
2020-01-07,7,131
2020-01-07,8,115
2020-01-07,9,103
2020-01-07,10,93
2020-01-07,11,88
2020-01-07,12,94
2020-01-07,13,113
2020-01-07,14,134
2020-01-07,15,150
2020-01-07,16,161
2020-01-07,17,166
2020-01-07,18,156
2020-01-07,19,131
2020-01-07,20,100
2020-01-07,21,71
2020-01-07,22,47
2020-01-07,23,29
2020-01-08,0,27
2020-01-08,1,45
2020-01-08,2,73
2020-01-08,3,103
2020-01-08,4,129
2020-01-08,5,150
2020-01-08,6,160
2020-01-08,7,154
2020-01-08,8,136
2020-01-08,9,118
2020-01-08,10,102
2020-01-08,11,88
2020-01-08,12,84
2020-01-08,13,96
2020-01-08,14,120
2020-01-08,15,143
2020-01-08,16,162
2020-01-08,17,175
2020-01-08,18,176
2020-01-08,19,159
2020-01-08,20,126
2020-01-08,21,90
2020-01-08,22,56
2020-01-08,23,27
2020-01-09,0,11
2020-01-09,1,17
2020-01-09,2,43
2020-01-09,3,79
2020-01-09,4,113
2020-01-09,5,145
2020-01-09,6,167
2020-01-09,7,172
2020-01-09,8,159
2020-01-09,9,137
2020-01-09,10,115
2020-01-09,11,95
2020-01-09,12,80
2020-01-09,13,82
2020-01-09,14,102
2020-01-09,15,129
2020-01-09,16,156
2020-01-09,17,177
2020-01-09,18,189
2020-01-09,19,183
2020-01-09,20,156
2020-01-09,21,118
2020-01-09,22,76
2020-01-09,23,37
2020-01-10,0,7
2020-01-10,1,-2
2020-01-10,2,13
2020-01-10,3,48
2020-01-10,4,89
2020-01-10,5,129
2020-01-10,6,162
2020-01-10,7,180
2020-01-10,8,177
2020-01-10,9,158
2020-01-10,10,133
2020-01-10,11,107
2020-01-10,12,85
2020-01-10,13,75
2020-01-10,14,85
2020-01-10,15,110
2020-01-10,16,142
2020-01-10,17,171
2020-01-10,18,192
2020-01-10,19,198
2020-01-10,20,183
2020-01-10,21,149
2020-01-10,22,106
2020-01-10,23,60
