d,t,l
2021-01-01,0,47
2021-01-01,1,9
2021-01-01,2,-10
2021-01-01,3,-7
2021-01-01,4,14
2021-01-01,5,49
2021-01-01,6,93
2021-01-01,7,135
2021-01-01,8,161
2021-01-01,9,169
2021-01-01,10,162
2021-01-01,11,143
2021-01-01,12,115
2021-01-01,13,88
2021-01-01,14,73
2021-01-01,15,74
2021-01-01,16,87
2021-01-01,17,110
2021-01-01,18,140
2021-01-01,19,168
2021-01-01,20,182
2021-01-01,21,176
2021-01-01,22,155
2021-01-01,23,120
2021-01-02,0,77
2021-01-02,1,33
2021-01-02,2,2
2021-01-02,3,-9
2021-01-02,4,0
2021-01-02,5,25
2021-01-02,6,64
2021-01-02,7,109
2021-01-02,8,145
2021-01-02,9,163
2021-01-02,10,165
2021-01-02,11,154
2021-01-02,12,132
2021-01-02,13,104
2021-01-02,14,82
2021-01-02,15,73
2021-01-02,16,77
2021-01-02,17,93
2021-01-02,18,118
2021-01-02,19,148
2021-01-02,20,171
2021-01-02,21,177
2021-01-02,22,167
2021-01-02,23,143
2021-01-03,0,107
2021-01-03,1,64
2021-01-03,2,26
2021-01-03,3,3
2021-01-03,4,-1
2021-01-03,5,12
2021-01-03,6,41
2021-01-03,7,81
2021-01-03,8,121
2021-01-03,9,149
2021-01-03,10,162
2021-01-03,11,160
2021-01-03,12,146
2021-01-03,13,122
2021-01-03,14,96
2021-01-03,15,79
2021-01-03,16,74
2021-01-03,17,80
2021-01-03,18,97
2021-01-03,19,123
2021-01-03,20,149
2021-01-03,21,166
2021-01-03,22,168
2021-01-03,23,157
2021-01-04,0,133
2021-01-04,1,97
2021-01-04,2,59
2021-01-04,3,28
2021-01-04,4,12
2021-01-04,5,12
2021-01-04,6,27
2021-01-04,7,58
2021-01-04,8,96
2021-01-04,9,129
2021-01-04,10,151
2021-01-04,11,159
2021-01-04,12,155
2021-01-04,13,139
2021-01-04,14,115
2021-01-04,15,93
2021-01-04,16,79
2021-01-04,17,74
2021-01-04,18,80
2021-01-04,19,97
2021-01-04,20,121
2021-01-04,21,143
2021-01-04,22,156
2021-01-04,23,157
2021-01-05,0,147
2021-01-05,1,124
2021-01-05,2,93
2021-01-05,3,62
2021-01-05,4,38
2021-01-05,5,25
2021-01-05,6,27
2021-01-05,7,45
2021-01-05,8,74
2021-01-05,9,107
2021-01-05,10,134
2021-01-05,11,152
2021-01-05,12,158
2021-01-05,13,151
2021-01-05,14,133
2021-01-05,15,111
2021-01-05,16,91
2021-01-05,17,76
2021-01-05,18,70
2021-01-05,19,75
2021-01-05,20,91
2021-01-05,21,112
2021-01-05,22,131
2021-01-05,23,143
