d,t,l
2023-01-01,0,101
2023-01-01,1,120
2023-01-01,2,132
2023-01-01,3,135
2023-01-01,4,131
2023-01-01,5,119
2023-01-01,6,103
2023-01-01,7,87
2023-01-01,8,79
2023-01-01,9,81
2023-01-01,10,89
2023-01-01,11,105
2023-01-01,12,125
2023-01-01,13,145
2023-01-01,14,158
2023-01-01,15,161
2023-01-01,16,154
2023-01-01,17,138
2023-01-01,18,112
2023-01-01,19,83
2023-01-01,20,60
2023-01-01,21,46
2023-01-01,22,43
2023-01-01,23,51
2023-01-02,0,69
2023-01-02,1,93
2023-01-02,2,115
2023-01-02,3,131
2023-01-02,4,138
2023-01-02,5,138
2023-01-02,6,128
2023-01-02,7,112
2023-01-02,8,99
2023-01-02,9,92
2023-01-02,10,91
2023-01-02,11,98
2023-01-02,12,112
2023-01-02,13,132
2023-01-02,14,149
2023-01-02,15,160
2023-01-02,16,162
2023-01-02,17,154
2023-01-02,18,133
2023-01-02,19,104
2023-01-02,20,73
2023-01-02,21,49
2023-01-02,22,34
2023-01-02,23,31
2023-01-03,0,42
2023-01-03,1,63
2023-01-03,2,90
2023-01-03,3,114
2023-01-03,4,134
2023-01-03,5,144
2023-01-03,6,144
2023-01-03,7,134
2023-01-03,8,119
2023-01-03,9,106
2023-01-03,10,98
2023-01-03,11,96
2023-01-03,12,103
2023-01-03,13,118
2023-01-03,14,136
2023-01-03,15,153
2023-01-03,16,163
2023-01-03,17,163
2023-01-03,18,151
2023-01-03,19,126
2023-01-03,20,94
2023-01-03,21,63
2023-01-03,22,37
2023-01-03,23,23
2023-01-04,0,23
2023-01-04,1,37
2023-01-04,2,61
2023-01-04,3,91
2023-01-04,4,119
2023-01-04,5,140
2023-01-04,6,150
2023-01-04,7,148
2023-01-04,8,137
2023-01-04,9,122
2023-01-04,10,108
2023-01-04,11,98
2023-01-04,12,97
2023-01-04,13,106
2023-01-04,14,121
2023-01-04,15,140
2023-01-04,16,157
2023-01-04,17,167
2023-01-04,18,164
2023-01-04,19,147
2023-01-04,20,118
2023-01-04,21,84
2023-01-04,22,51
2023-01-04,23,25
2023-01-05,0,13
2023-01-05,1,18
2023-01-05,2,36
2023-01-05,3,65
2023-01-05,4,98
2023-01-05,5,128
2023-01-05,6,148
2023-01-05,7,155
2023-01-05,8,150
2023-01-05,9,137
2023-01-05,10,119
2023-01-05,11,103
2023-01-05,12,94
2023-01-05,13,96
2023-01-05,14,107
2023-01-05,15,125
2023-01-05,16,145
2023-01-05,17,163
2023-01-05,18,171
2023-01-05,19,163
2023-01-05,20,140
2023-01-05,21,108
2023-01-05,22,71
2023-01-05,23,37
2023-01-06,0,13
2023-01-06,1,7
2023-01-06,2,18
2023-01-06,3,41
2023-01-06,4,74
2023-01-06,5,110
2023-01-06,6,140
2023-01-06,7,155
2023-01-06,8,157
2023-01-06,9,148
2023-01-06,10,131
2023-01-06,11,110
2023-01-06,12,94
2023-01-06,13,89
2023-01-06,14,95
2023-01-06,15,109
2023-01-06,16,130
2023-01-06,17,154
2023-01-06,18,171
2023-01-06,19,173
2023-01-06,20,158
2023-01-06,21,131
2023-01-06,22,95
2023-01-06,23,56
2023-01-07,0,22
2023-01-07,1,5
2023-01-07,2,6
2023-01-07,3,23
2023-01-07,4,52
2023-01-07,5,89
2023-01-07,6,126
2023-01-07,7,150
2023-01-07,8,159
2023-01-07,9,155
2023-01-07,10,141
2023-01-07,11,119
2023-01-07,12,97
2023-01-07,13,85
2023-01-07,14,86
2023-01-07,15,96
2023-01-07,16,115
2023-01-07,17,140
2023-01-07,18,164
2023-01-07,19,176
2023-01-07,20,171
2023-01-07,21,151
2023-01-07,22,119
2023-01-07,23,79
2023-01-08,0,39
2023-01-08,1,12
2023-01-08,2,3
2023-01-08,3,11
2023-01-08,4,34
2023-01-08,5,69
2023-01-08,6,108
2023-01-08,7,141
2023-01-08,8,157
2023-01-08,9,159
2023-01-08,10,149
2023-01-08,11,130
2023-01-08,12,105
2023-01-08,13,86
2023-01-08,14,80
2023-01-08,15,86
2023-01-08,16,101
2023-01-08,17,125
2023-01-08,18,152
2023-01-08,19,173
2023-01-08,20,177
2023-01-08,21,165
2023-01-08,22,139
2023-01-08,23,103
2023-01-09,0,61
2023-01-09,1,25
2023-01-09,2,7
2023-01-09,3,7
2023-01-09,4,22
2023-01-09,5,51
2023-01-09,6,90
2023-01-09,7,127
2023-01-09,8,151
2023-01-09,9,159
2023-01-09,10,155
2023-01-09,11,139
2023-01-09,12,115
2023-01-09,13,92
2023-01-09,14,79
2023-01-09,15,79
2023-01-09,16,90
2023-01-09,17,110
2023-01-09,18,137
2023-01-09,19,163
2023-01-09,20,176
2023-01-09,21,172
2023-01-09,22,154
2023-01-09,23,124
2023-01-10,0,85
2023-01-10,1,45
2023-01-10,2,18
2023-01-10,3,9
2023-01-10,4,17
2023-01-10,5,39
2023-01-10,6,73
2023-01-10,7,111
2023-01-10,8,142
2023-01-10,9,157
2023-01-10,10,158
2023-01-10,11,148
2023-01-10,12,127
2023-01-10,13,102
2023-01-10,14,83
2023-01-10,15,77
2023-01-10,16,82
2023-01-10,17,97
2023-01-10,18,120
2023-01-10,19,148
2023-01-10,20,168
2023-01-10,21,173
2023-01-10,22,163
2023-01-10,23,141
2023-01-11,0,108
2023-01-11,1,69
2023-01-11,2,36
2023-01-11,3,19
2023-01-11,4,18
2023-01-11,5,31
2023-01-11,6,59
