d,t,l
2023-01-01,0,80
2023-01-01,1,95
2023-01-01,2,106
2023-01-01,3,110
2023-01-01,4,108
2023-01-01,5,99
2023-01-01,6,89
2023-01-01,7,78
2023-01-01,8,72
2023-01-01,9,71
2023-01-01,10,77
2023-01-01,11,89
2023-01-01,12,104
2023-01-01,13,120
2023-01-01,14,133
2023-01-01,15,138
2023-01-01,16,134
2023-01-01,17,121
2023-01-01,18,101
2023-01-01,19,79
2023-01-01,20,58
2023-01-01,21,43
2023-01-01,22,38
2023-01-01,23,41
2023-01-02,0,53
2023-01-02,1,70
2023-01-02,2,87
2023-01-02,3,102
2023-01-02,4,111
2023-01-02,5,112
2023-01-02,6,107
2023-01-02,7,97
2023-01-02,8,88
2023-01-02,9,80
2023-01-02,10,79
2023-01-02,11,83
2023-01-02,12,94
2023-01-02,13,109
2023-01-02,14,124
2023-01-02,15,136
2023-01-02,16,141
2023-01-02,17,135
2023-01-02,18,120
2023-01-02,19,97
2023-01-02,20,71
2023-01-02,21,48
2023-01-02,22,32
2023-01-02,23,25
2023-01-03,0,30
2023-01-03,1,45
2023-01-03,2,65
2023-01-03,3,86
2023-01-03,4,104
2023-01-03,5,116
2023-01-03,6,118
2023-01-03,7,113
2023-01-03,8,103
2023-01-03,9,92
2023-01-03,10,83
2023-01-03,11,81
2023-01-03,12,86
2023-01-03,13,98
2023-01-03,14,113
2023-01-03,15,130
2023-01-03,16,141
2023-01-03,17,144
2023-01-03,18,136
2023-01-03,19,116
2023-01-03,20,89
2023-01-03,21,60
2023-01-03,22,35
2023-01-03,23,19
2023-01-04,0,15
2023-01-04,1,24
2023-01-04,2,42
2023-01-04,3,67
2023-01-04,4,92
2023-01-04,5,112
2023-01-04,6,123
2023-01-04,7,124
2023-01-04,8,117
2023-01-04,9,104
2023-01-04,10,91
2023-01-04,11,82
2023-01-04,12,80
2023-01-04,13,87
2023-01-04,14,102
2023-01-04,15,120
2023-01-04,16,136
2023-01-04,17,147
2023-01-04,18,147
2023-01-04,19,134
2023-01-04,20,110
2023-01-04,21,78
2023-01-04,22,47
2023-01-04,23,21
2023-01-05,0,8
2023-01-05,1,8
2023-01-05,2,22
2023-01-05,3,46
2023-01-05,4,74
2023-01-05,5,101
2023-01-05,6,120
2023-01-05,7,129
2023-01-05,8,127
2023-01-05,9,115
2023-01-05,10,100
2023-01-05,11,86
2023-01-05,12,78
2023-01-05,13,79
2023-01-05,14,90
2023-01-05,15,108
2023-01-05,16,128
2023-01-05,17,145
2023-01-05,18,152
2023-01-05,19,148
2023-01-05,20,129
2023-01-05,21,99
2023-01-05,22,65
2023-01-05,23,32
2023-01-06,0,9
2023-01-06,1,0
2023-01-06,2,7
2023-01-06,3,27
2023-01-06,4,55
2023-01-06,5,86
2023-01-06,6,112
2023-01-06,7,128
2023-01-06,8,132
2023-01-06,9,125
2023-01-06,10,109
2023-01-06,11,92
2023-01-06,12,79
2023-01-06,13,74
2023-01-06,14,80
2023-01-06,15,96
2023-01-06,16,117
2023-01-06,17,138
2023-01-06,18,152
2023-01-06,19,156
2023-01-06,20,145
2023-01-06,21,120
2023-01-06,22,86
2023-01-06,23,49
2023-01-07,0,18
2023-01-07,1,0
2023-01-07,2,-3
2023-01-07,3,11
2023-01-07,4,37
2023-01-07,5,69
2023-01-07,6,100
2023-01-07,7,123
2023-01-07,8,133
2023-01-07,9,131
2023-01-07,10,118
2023-01-07,11,100
2023-01-07,12,82
2023-01-07,13,72
2023-01-07,14,73
2023-01-07,15,84
2023-01-07,16,104
2023-01-07,17,127
2023-01-07,18,147
2023-01-07,19,158
2023-01-07,20,156
2023-01-07,21,138
2023-01-07,22,108
2023-01-07,23,70
2023-01-08,0,34
2023-01-08,1,7
2023-01-08,2,-4
2023-01-08,3,1
2023-01-08,4,22
2023-01-08,5,52
2023-01-08,6,85
2023-01-08,7,113
2023-01-08,8,130
2023-01-08,9,134
2023-01-08,10,125
2023-01-08,11,108
2023-01-08,12,89
2023-01-08,13,74
2023-01-08,14,68
2023-01-08,15,74
2023-01-08,16,91
2023-01-08,17,113
2023-01-08,18,137
2023-01-08,19,154
2023-01-08,20,160
2023-01-08,21,151
2023-01-08,22,127
2023-01-08,23,92
2023-01-09,0,54
2023-01-09,1,22
