d,t,l
2023-01-01,0,117
2023-01-01,1,133
2023-01-01,2,139
2023-01-01,3,138
2023-01-01,4,128
2023-01-01,5,112
2023-01-01,6,95
2023-01-01,7,82
2023-01-01,8,79
2023-01-01,9,85
2023-01-01,10,96
2023-01-01,11,114
2023-01-01,12,134
2023-01-01,13,151
2023-01-01,14,159
2023-01-01,15,157
2023-01-01,16,145
2023-01-01,17,122
2023-01-01,18,95
2023-01-01,19,69
2023-01-01,20,52
2023-01-01,21,46
2023-01-01,22,49
2023-01-01,23,63
2023-01-02,0,85
2023-01-02,1,108
2023-01-02,2,127
2023-01-02,3,137
2023-01-02,4,139
2023-01-02,5,131
2023-01-02,6,115
2023-01-02,7,100
2023-01-02,8,90
2023-01-02,9,87
2023-01-02,10,90
2023-01-02,11,101
2023-01-02,12,119
2023-01-02,13,138
2023-01-02,14,152
2023-01-02,15,158
2023-01-02,16,153
2023-01-02,17,137
2023-01-02,18,111
2023-01-02,19,82
2023-01-02,20,56
2023-01-02,21,39
2023-01-02,22,31
2023-01-02,23,36
2023-01-03,0,53
2023-01-03,1,78
2023-01-03,2,103
2023-01-03,3,124
2023-01-03,4,138
2023-01-03,5,140
2023-01-03,6,131
2023-01-03,7,117
2023-01-03,8,103
2023-01-03,9,93
2023-01-03,10,89
2023-01-03,11,93
2023-01-03,12,104
2023-01-03,13,121
2023-01-03,14,139
2023-01-03,15,152
2023-01-03,16,156
2023-01-03,17,149
2023-01-03,18,129
2023-01-03,19,100
2023-01-03,20,69
2023-01-03,21,43
2023-01-03,22,25
2023-01-03,23,19
2023-01-04,0,27
2023-01-04,1,47
2023-01-04,2,74
2023-01-04,3,102
2023-01-04,4,126
2023-01-04,5,140
2023-01-04,6,141
2023-01-04,7,132
2023-01-04,8,117
2023-01-04,9,103
2023-01-04,10,92
2023-01-04,11,88
2023-01-04,12,92
2023-01-04,13,105
2023-01-04,14,122
2023-01-04,15,140
2023-01-04,16,153
2023-01-04,17,155
2023-01-04,18,144
2023-01-04,19,120
2023-01-04,20,89
2023-01-04,21,57
2023-01-04,22,30
2023-01-04,23,13
2023-01-05,0,10
2023-01-05,1,22
2023-01-05,2,45
2023-01-05,3,76
2023-01-05,4,108
2023-01-05,5,133
2023-01-05,6,144
2023-01-05,7,142
2023-01-05,8,131
2023-01-05,9,115
2023-01-05,10,99
2023-01-05,11,87
2023-01-05,12,84
2023-01-05,13,91
2023-01-05,14,105
2023-01-05,15,124
2023-01-05,16,143
2023-01-05,17,156
2023-01-05,18,155
2023-01-05,19,138
2023-01-05,20,111
2023-01-05,21,78
2023-01-05,22,44
2023-01-05,23,17
2023-01-06,0,3
2023-01-06,1,5
2023-01-06,2,22
2023-01-06,3,50
2023-01-06,4,85
2023-01-06,5,119
2023-01-06,6,142
2023-01-06,7,149
2023-01-06,8,142
2023-01-06,9,128
2023-01-06,10,109
2023-01-06,11,91
2023-01-06,12,80
2023-01-06,13,80
2023-01-06,14,90
2023-01-06,15,109
2023-01-06,16,131
2023-01-06,17,151
2023-01-06,18,160
2023-01-06,19,154
2023-01-06,20,132
2023-01-06,21,100
2023-01-06,22,65
2023-01-06,23,31
2023-01-07,0,6
2023-01-07,1,-2
2023-01-07,2,7
2023-01-07,3,30
2023-01-07,4,64
2023-01-07,5,102
2023-01-07,6,133
2023-01-07,7,150
2023-01-07,8,151
2023-01-07,9,140
2023-01-07,10,120
2023-01-07,11,98
2023-01-07,12,81
2023-01-07,13,74
2023-01-07,14,80
2023-01-07,15,95
2023-01-07,16,117
2023-01-07,17,142
2023-01-07,18,160
2023-01-07,19,164
2023-01-07,20,150
2023-01-07,21,123
2023-01-07,22,87
2023-01-07,23,50
2023-01-08,0,18
2023-01-08,1,0
2023-01-08,2,0
2023-01-08,3,16
2023-01-08,4,46
2023-01-08,5,84
2023-01-08,6,121
