d,t,l
2021-01-01,0,48
2021-01-01,1,11
2021-01-01,2,-8
2021-01-01,3,-6
2021-01-01,4,17
2021-01-01,5,55
2021-01-01,6,98
2021-01-01,7,138
2021-01-01,8,165
2021-01-01,9,174
2021-01-01,10,165
2021-01-01,11,143
2021-01-01,12,116
2021-01-01,13,92
2021-01-01,14,78
2021-01-01,15,79
2021-01-01,16,95
2021-01-01,17,121
2021-01-01,18,151
2021-01-01,19,177
2021-01-01,20,189
2021-01-01,21,184
2021-01-01,22,160
2021-01-01,23,122
2021-01-02,0,77
2021-01-02,1,34
2021-01-02,2,4
2021-01-02,3,-7
2021-01-02,4,2
2021-01-02,5,31
2021-01-02,6,72
2021-01-02,7,114
2021-01-02,8,149
2021-01-02,9,170
2021-01-02,10,171
2021-01-02,11,157
2021-01-02,12,133
2021-01-02,13,106
2021-01-02,14,85
2021-01-02,15,76
2021-01-02,16,82
2021-01-02,17,101
2021-01-02,18,129
2021-01-02,19,158
2021-01-02,20,179
2021-01-02,21,186
2021-01-02,22,175
2021-01-02,23,147
2021-01-03,0,108
2021-01-03,1,65
2021-01-03,2,27
2021-01-03,3,4
2021-01-03,4,0
2021-01-03,5,16
2021-01-03,6,48
2021-01-03,7,88
2021-01-03,8,128
2021-01-03,9,157
2021-01-03,10,170
2021-01-03,11,167
2021-01-03,12,149
2021-01-03,13,123
2021-01-03,14,98
2021-01-03,15,81
2021-01-03,16,76
2021-01-03,17,85
2021-01-03,18,106
2021-01-03,19,132
2021-01-03,20,158
2021-01-03,21,175
2021-01-03,22,177
2021-01-03,23,163
2021-01-04,0,134
2021-01-04,1,97
2021-01-04,2,58
2021-01-04,3,27
2021-01-04,4,11
2021-01-04,5,13
2021-01-04,6,33
2021-01-04,7,65
2021-01-04,8,104
2021-01-04,9,138
2021-01-04,10,161
2021-01-04,11,169
2021-01-04,12,161
2021-01-04,13,141
2021-01-04,14,116
2021-01-04,15,93
2021-01-04,16,78
2021-01-04,17,76
2021-01-04,18,86
2021-01-04,19,106
2021-01-04,20,130
2021-01-04,21,152
2021-01-04,22,166
2021-01-04,23,166
2021-01-05,0,151
2021-01-05,1,125
2021-01-05,2,91
2021-01-05,3,59
2021-01-05,4,34
2021-01-05,5,24
2021-01-05,6,29
2021-01-05,7,50
2021-01-05,8,81
2021-01-05,9,116
2021-01-05,10,145
2021-01-05,11,163
2021-01-05,12,166
2021-01-05,13,156
2021-01-05,14,135
2021-01-05,15,111
2021-01-05,16,90
2021-01-05,17,76
2021-01-05,18,73
2021-01-05,19,82
2021-01-05,20,100
2021-01-05,21,121
2021-01-05,22,141
2021-01-05,23,153
2021-01-06,0,154
2021-01-06,1,142
2021-01-06,2,120
2021-01-06,3,93
2021-01-06,4,66
2021-01-06,5,47
2021-01-06,6,40
