d,t,l
2023-01-01,0,102
2023-01-01,1,118
2023-01-01,2,129
2023-01-01,3,132
2023-01-01,4,127
2023-01-01,5,115
2023-01-01,6,102
2023-01-01,7,90
2023-01-01,8,83
2023-01-01,9,84
2023-01-01,10,93
2023-01-01,11,108
2023-01-01,12,128
2023-01-01,13,146
2023-01-01,14,159
2023-01-01,15,163
2023-01-01,16,155
2023-01-01,17,138
2023-01-01,18,114
2023-01-01,19,88
2023-01-01,20,65
2023-01-01,21,50
2023-01-01,22,47
2023-01-01,23,54
2023-01-02,0,70
2023-01-02,1,91
2023-01-02,2,112
2023-01-02,3,127
2023-01-02,4,135
2023-01-02,5,133
2023-01-02,6,125
2023-01-02,7,113
2023-01-02,8,101
2023-01-02,9,92
2023-01-02,10,91
2023-01-02,11,98
2023-01-02,12,113
2023-01-02,13,131
2023-01-02,14,149
2023-01-02,15,161
2023-01-02,16,164
2023-01-02,17,155
2023-01-02,18,135
2023-01-02,19,108
2023-01-02,20,79
2023-01-02,21,53
2023-01-02,22,37
2023-01-02,23,34
2023-01-03,0,43
2023-01-03,1,62
2023-01-03,2,88
2023-01-03,3,112
2023-01-03,4,132
2023-01-03,5,142
2023-01-03,6,142
2023-01-03,7,133
2023-01-03,8,120
2023-01-03,9,106
2023-01-03,10,96
2023-01-03,11,94
2023-01-03,12,101
2023-01-03,13,116
2023-01-03,14,135
2023-01-03,15,154
2023-01-03,16,166
2023-01-03,17,166
2023-01-03,18,154
2023-01-03,19,130
2023-01-03,20,99
2023-01-03,21,66
2023-01-03,22,39
2023-01-03,23,23
2023-01-04,0,23
2023-01-04,1,36
2023-01-04,2,61
2023-01-04,3,91
2023-01-04,4,120
2023-01-04,5,141
2023-01-04,6,151
2023-01-04,7,149
2023-01-04,8,138
2023-01-04,9,121
2023-01-04,10,105
2023-01-04,11,94
2023-01-04,12,93
2023-01-04,13,102
2023-01-04,14,120
2023-01-04,15,141
2023-01-04,16,160
2023-01-04,17,171
2023-01-04,18,168
2023-01-04,19,151
2023-01-04,20,122
2023-01-04,21,86
2023-01-04,22,50
2023-01-04,23,24
2023-01-05,0,12
2023-01-05,1,16
2023-01-05,2,36
2023-01-05,3,67
2023-01-05,4,101
2023-01-05,5,132
2023-01-05,6,152
2023-01-05,7,159
2023-01-05,8,152
2023-01-05,9,136
2023-01-05,10,116
2023-01-05,11,99
2023-01-05,12,90
2023-01-05,13,92
2023-01-05,14,105
2023-01-05,15,127
2023-01-05,16,150
2023-01-05,17,169
2023-01-05,18,176
2023-01-05,19,167
2023-01-05,20,144
2023-01-05,21,109
2023-01-05,22,69
2023-01-05,23,34
2023-01-06,0,10
2023-01-06,1,4
2023-01-06,2,16
2023-01-06,3,43
2023-01-06,4,79
2023-01-06,5,116
2023-01-06,6,145
2023-01-06,7,161
2023-01-06,8,162
2023-01-06,9,149
2023-01-06,10,129
2023-01-06,11,107
2023-01-06,12,91
2023-01-06,13,86
2023-01-06,14,93
2023-01-06,15,112
2023-01-06,16,137
2023-01-06,17,161
2023-01-06,18,177
2023-01-06,19,178
2023-01-06,20,163
2023-01-06,21,132
2023-01-06,22,92
2023-01-06,23,51
2023-01-07,0,18
2023-01-07,1,1
2023-01-07,2,2
2023-01-07,3,22
2023-01-07,4,56
2023-01-07,5,95
2023-01-07,6,131
2023-01-07,7,156
2023-01-07,8,165
2023-01-07,9,159
2023-01-07,10,141
2023-01-07,11,117
2023-01-07,12,96
2023-01-07,13,84
2023-01-07,14,84
2023-01-07,15,98
2023-01-07,16,121
2023-01-07,17,148
2023-01-07,18,171
2023-01-07,19,182
2023-01-07,20,176
2023-01-07,21,153
2023-01-07,22,117
2023-01-07,23,74
2023-01-08,0,35
2023-01-08,1,7
2023-01-08,2,-3
2023-01-08,3,8
2023-01-08,4,36
2023-01-08,5,74
2023-01-08,6,113
2023-01-08,7,145
2023-01-08,8,163
2023-01-08,9,165
2023-01-08,10,151
2023-01-08,11,128
2023-01-08,12,104
