d,t,l
2022-01-01,0,-4
2022-01-01,1,3
2022-01-01,2,24
2022-01-01,3,53
2022-01-01,4,85
2022-01-01,5,113
2022-01-01,6,130
2022-01-01,7,133
2022-01-01,8,125
2022-01-01,9,108
2022-01-01,10,89
2022-01-01,11,75
2022-01-01,12,70
2022-01-01,13,78
2022-01-01,14,95
2022-01-01,15,119
2022-01-01,16,143
2022-01-01,17,160
2022-01-01,18,163
2022-01-01,19,149
2022-01-01,20,121
2022-01-01,21,84
2022-01-01,22,45
2022-01-01,23,11
2022-01-02,0,-11
2022-01-02,1,-16
2022-01-02,2,-5
2022-01-02,3,21
2022-01-02,4,55
2022-01-02,5,91
2022-01-02,6,120
2022-01-02,7,137
2022-01-02,8,138
2022-01-02,9,127
2022-01-02,10,108
2022-01-02,11,88
2022-01-02,12,73
2022-01-02,13,70
2022-01-02,14,80
2022-01-02,15,101
2022-01-02,16,128
2022-01-02,17,154
2022-01-02,18,169
2022-01-02,19,169
2022-01-02,20,151
2022-01-02,21,118
2022-01-02,22,77
2022-01-02,23,36
2022-01-03,0,1
2022-01-03,1,-20
2022-01-03,2,-22
2022-01-03,3,-6
2022-01-03,4,24
2022-01-03,5,61
2022-01-03,6,99
2022-01-03,7,127
2022-01-03,8,141
2022-01-03,9,139
2022-01-03,10,125
2022-01-03,11,104
2022-01-03,12,83
2022-01-03,13,70
2022-01-03,14,70
2022-01-03,15,83
2022-01-03,16,108
2022-01-03,17,137
2022-01-03,18,162
2022-01-03,19,176
2022-01-03,20,172
2022-01-03,21,149
2022-01-03,22,113
2022-01-03,23,70
2022-01-04,0,28
2022-01-04,1,-6
2022-01-04,2,-23
2022-01-04,3,-21
2022-01-04,4,-1
2022-01-04,5,32
2022-01-04,6,71
2022-01-04,7,107
2022-01-04,8,133
2022-01-04,9,143
2022-01-04,10,137
2022-01-04,11,120
2022-01-04,12,98
2022-01-04,13,78
2022-01-04,14,67
2022-01-04,15,70
2022-01-04,16,87
2022-01-04,17,114
2022-01-04,18,143
2022-01-04,19,167
2022-01-04,20,177
2022-01-04,21,169
2022-01-04,22,144
2022-01-04,23,106
2022-01-05,0,63
2022-01-05,1,22
2022-01-05,2,-7
2022-01-05,3,-20
2022-01-05,4,-13
2022-01-05,5,10
2022-01-05,6,44
2022-01-05,7,82
2022-01-05,8,115
2022-01-05,9,136
2022-01-05,10,141
2022-01-05,11,132
