d,t,l
2023-01-01,0,78
2023-01-01,1,93
2023-01-01,2,104
2023-01-01,3,108
2023-01-01,4,106
2023-01-01,5,98
2023-01-01,6,86
2023-01-01,7,73
2023-01-01,8,65
2023-01-01,9,64
2023-01-01,10,70
2023-01-01,11,82
2023-01-01,12,98
2023-01-01,13,116
2023-01-01,14,129
2023-01-01,15,135
2023-01-01,16,132
2023-01-01,17,120
2023-01-01,18,100
2023-01-01,19,77
2023-01-01,20,55
2023-01-01,21,39
2023-01-01,22,33
2023-01-01,23,36
2023-01-02,0,48
2023-01-02,1,65
2023-01-02,2,84
2023-01-02,3,99
2023-01-02,4,108
2023-01-02,5,109
2023-01-02,6,104
2023-01-02,7,94
2023-01-02,8,83
2023-01-02,9,75
2023-01-02,10,73
2023-01-02,11,78
2023-01-02,12,89
2023-01-02,13,105
2023-01-02,14,122
2023-01-02,15,135
2023-01-02,16,140
2023-01-02,17,134
2023-01-02,18,119
2023-01-02,19,95
2023-01-02,20,69
2023-01-02,21,44
2023-01-02,22,27
2023-01-02,23,20
2023-01-03,0,24
2023-01-03,1,38
2023-01-03,2,59
2023-01-03,3,82
2023-01-03,4,100
2023-01-03,5,112
2023-01-03,6,115
2023-01-03,7,110
2023-01-03,8,100
2023-01-03,9,88
2023-01-03,10,80
2023-01-03,11,78
2023-01-03,12,83
2023-01-03,13,95
2023-01-03,14,112
2023-01-03,15,129
2023-01-03,16,141
2023-01-03,17,144
2023-01-03,18,135
2023-01-03,19,115
2023-01-03,20,88
2023-01-03,21,59
2023-01-03,22,33
2023-01-03,23,16
2023-01-04,0,10
2023-01-04,1,18
2023-01-04,2,36
2023-01-04,3,60
2023-01-04,4,85
2023-01-04,5,106
2023-01-04,6,118
2023-01-04,7,120
2023-01-04,8,113
2023-01-04,9,102
2023-01-04,10,90
2023-01-04,11,81
2023-01-04,12,80
2023-01-04,13,87
2023-01-04,14,102
2023-01-04,15,120
2023-01-04,16,137
2023-01-04,17,147
2023-01-04,18,147
2023-01-04,19,134
2023-01-04,20,110
2023-01-04,21,79
2023-01-04,22,48
2023-01-04,23,22
2023-01-05,0,7
2023-01-05,1,5
2023-01-05,2,17
2023-01-05,3,40
2023-01-05,4,67
2023-01-05,5,94
2023-01-05,6,114
2023-01-05,7,123
2023-01-05,8,122
2023-01-05,9,113
2023-01-05,10,100
2023-01-05,11,88
2023-01-05,12,80
2023-01-05,13,81
2023-01-05,14,92
2023-01-05,15,109
2023-01-05,16,128
2023-01-05,17,145
2023-01-05,18,153
2023-01-05,19,148
2023-01-05,20,130
2023-01-05,21,102
2023-01-05,22,69
2023-01-05,23,37
2023-01-06,0,13
2023-01-06,1,2
2023-01-06,2,5
2023-01-06,3,23
2023-01-06,4,49
2023-01-06,5,79
2023-01-06,6,105
2023-01-06,7,122
2023-01-06,8,127
2023-01-06,9,122
2023-01-06,10,110
2023-01-06,11,95
2023-01-06,12,83
2023-01-06,13,79
2023-01-06,14,84
2023-01-06,15,98
2023-01-06,16,117
2023-01-06,17,137
2023-01-06,18,152
2023-01-06,19,156
2023-01-06,20,145
2023-01-06,21,122
2023-01-06,22,91
2023-01-06,23,57
2023-01-07,0,26
2023-01-07,1,6
2023-01-07,2,1
2023-01-07,3,11
2023-01-07,4,34
2023-01-07,5,63
2023-01-07,6,93
2023-01-07,7,116
2023-01-07,8,128
2023-01-07,9,128
2023-01-07,10,118
2023-01-07,11,103
2023-01-07,12,88
2023-01-07,13,79
2023-01-07,14,78
2023-01-07,15,88
2023-01-07,16,106
2023-01-07,17,127
2023-01-07,18,146
2023-01-07,19,157
2023-01-07,20,155
2023-01-07,21,139
2023-01-07,22,111
2023-01-07,23,78
2023-01-08,0,44
2023-01-08,1,17
2023-01-08,2,3
2023-01-08,3,5
2023-01-08,4,22
2023-01-08,5,48
2023-01-08,6,79
2023-01-08,7,106
2023-01-08,8,125
2023-01-08,9,131
2023-01-08,10,125
2023-01-08,11,111
2023-01-08,12,95
2023-01-08,13,81
2023-01-08,14,76
2023-01-08,15,80
2023-01-08,16,95
2023-01-08,17,115
2023-01-08,18,137
2023-01-08,19,153
2023-01-08,20,159
2023-01-08,21,150
2023-01-08,22,129
2023-01-08,23,98
2023-01-09,0,63
2023-01-09,1,32
2023-01-09,2,11
2023-01-09,3,5
2023-01-09,4,14
2023-01-09,5,36
2023-01-09,6,65
2023-01-09,7,95
2023-01-09,8,118
2023-01-09,9,130
2023-01-09,10,129
2023-01-09,11,119
2023-01-09,12,103
2023-01-09,13,87
2023-01-09,14,76
2023-01-09,15,75
2023-01-09,16,85
2023-01-09,17,103
2023-01-09,18,125
2023-01-09,19,144
2023-01-09,20,156
2023-01-09,21,155
2023-01-09,22,140
2023-01-09,23,114
2023-01-10,0,82
2023-01-10,1,49
2023-01-10,2,23
2023-01-10,3,9
2023-01-10,4,11
2023-01-10,5,27
2023-01-10,6,53
2023-01-10,7,82
2023-01-10,8,109
2023-01-10,9,126
2023-01-10,10,131
2023-01-10,11,125
2023-01-10,12,110
2023-01-10,13,93
2023-01-10,14,79
2023-01-10,15,73
2023-01-10,16,77
2023-01-10,17,91
2023-01-10,18,111
2023-01-10,19,132
2023-01-10,20,147
2023-01-10,21,153
2023-01-10,22,146
2023-01-10,23,127
2023-01-11,0,99
2023-01-11,1,67
2023-01-11,2,38
2023-01-11,3,19
2023-01-11,4,13
2023-01-11,5,22
2023-01-11,6,43
2023-01-11,7,70
2023-01-11,8,98
2023-01-11,9,119
2023-01-11,10,130
2023-01-11,11,129
2023-01-11,12,117
2023-01-11,13,101
2023-01-11,14,84
2023-01-11,15,73
2023-01-11,16,71
2023-01-11,17,80
2023-01-11,18,96
2023-01-11,19,116
2023-01-11,20,134
2023-01-11,21,145
2023-01-11,22,145
2023-01-11,23,134
2023-01-12,0,112
2023-01-12,1,84
2023-01-12,2,56
2023-01-12,3,33
2023-01-12,4,20
2023-01-12,5,22
2023-01-12,6,36
2023-01-12,7,60
2023-01-12,8,86
2023-01-12,9,110
2023-01-12,10,125
2023-01-12,11,130
2023-01-12,12,123
2023-01-12,13,109
2023-01-12,14,92
2023-01-12,15,77
2023-01-12,16,69
2023-01-12,17,70
2023-01-12,18,81
2023-01-12,19,98
2023-01-12,20,116
2023-01-12,21,131
2023-01-12,22,137
2023-01-12,23,134
2023-01-13,0,120
2023-01-13,1,99
2023-01-13,2,74
2023-01-13,3,50
2023-01-13,4,34
2023-01-13,5,28
2023-01-13,6,35
2023-01-13,7,52
2023-01-13,8,76
2023-01-13,9,99
2023-01-13,10,118
2023-01-13,11,128
2023-01-13,12,127
2023-01-13,13,117
2023-01-13,14,101
2023-01-13,15,84
2023-01-13,16,70
2023-01-13,17,64
2023-01-13,18,68
2023-01-13,19,79
2023-01-13,20,95
2023-01-13,21,111
2023-01-13,22,122
2023-01-13,23,126
2023-01-14,0,121
2023-01-14,1,109
2023-01-14,2,90
2023-01-14,3,70
2023-01-14,4,52
2023-01-14,5,40
2023-01-14,6,39
2023-01-14,7,49
2023-01-14,8,67
2023-01-14,9,89
2023-01-14,10,108
2023-01-14,11,122
2023-01-14,12,128
2023-01-14,13,124
2023-01-14,14,111
2023-01-14,15,94
2023-01-14,16,77
2023-01-14,17,64
2023-01-14,18,59
2023-01-14,19,62
2023-01-14,20,73
2023-01-14,21,86
2023-01-14,22,100
2023-01-14,23,109
2023-01-15,0,113
2023-01-15,1,111
2023-01-15,2,101
2023-01-15,3,87
2023-01-15,4,72
2023-01-15,5,59
2023-01-15,6,51
2023-01-15,7,53
2023-01-15,8,63
2023-01-15,9,80
2023-01-15,10,98
2023-01-15,11,114
2023-01-15,12,125
2023-01-15,13,128
2023-01-15,14,121
2023-01-15,15,107
2023-01-15,16,90
2023-01-15,17,72
2023-01-15,18,58
2023-01-15,19,51
2023-01-15,20,53
2023-01-15,21,61
2023-01-15,22,73
2023-01-15,23,85
2023-01-16,0,96
2023-01-16,1,103
2023-01-16,2,104
2023-01-16,3,100
2023-01-16,4,90
2023-01-16,5,79
2023-01-16,6,69
2023-01-16,7,63
2023-01-16,8,65
2023-01-16,9,74
2023-01-16,10,88
2023-01-16,11,104
2023-01-16,12,117
2023-01-16,13,127
2023-01-16,14,129
2023-01-16,15,121
2023-01-16,16,106
2023-01-16,17,87
2023-01-16,18,68
2023-01-16,19,51
2023-01-16,20,41
2023-01-16,21,40
2023-01-16,22,46
2023-01-16,23,57
2023-01-17,0,70
2023-01-17,1,84
