d,t,l
2023-01-01,0,109
2023-01-01,1,121
2023-01-01,2,127
2023-01-01,3,125
2023-01-01,4,117
2023-01-01,5,105
2023-01-01,6,94
2023-01-01,7,86
2023-01-01,8,85
2023-01-01,9,91
2023-01-01,10,103
2023-01-01,11,120
2023-01-01,12,137
2023-01-01,13,151
2023-01-01,14,158
2023-01-01,15,155
2023-01-01,16,142
2023-01-01,17,122
2023-01-01,18,98
2023-01-01,19,76
2023-01-01,20,58
2023-01-01,21,50
2023-01-01,22,52
2023-01-01,23,63
2023-01-02,0,81
2023-01-02,1,100
2023-01-02,2,117
2023-01-02,3,128
2023-01-02,4,131
2023-01-02,5,126
2023-01-02,6,117
2023-01-02,7,106
2023-01-02,8,98
2023-01-02,9,94
2023-01-02,10,98
2023-01-02,11,108
2023-01-02,12,123
2023-01-02,13,140
2023-01-02,14,153
2023-01-02,15,159
2023-01-02,16,155
2023-01-02,17,141
2023-01-02,18,118
2023-01-02,19,91
2023-01-02,20,66
2023-01-02,21,46
2023-01-02,22,37
2023-01-02,23,40
2023-01-03,0,53
2023-01-03,1,74
2023-01-03,2,98
2023-01-03,3,120
2023-01-03,4,135
2023-01-03,5,140
2023-01-03,6,137
2023-01-03,7,127
2023-01-03,8,114
2023-01-03,9,103
2023-01-03,10,97
2023-01-03,11,100
2023-01-03,12,110
2023-01-03,13,126
2023-01-03,14,143
2023-01-03,15,157
2023-01-03,16,162
2023-01-03,17,156
2023-01-03,18,138
2023-01-03,19,112
2023-01-03,20,81
2023-01-03,21,53
2023-01-03,22,33
2023-01-03,23,24
2023-01-04,0,30
2023-01-04,1,48
2023-01-04,2,75
2023-01-04,3,104
2023-01-04,4,129
2023-01-04,5,146
2023-01-04,6,151
2023-01-04,7,145
2023-01-04,8,131
2023-01-04,9,115
2023-01-04,10,101
2023-01-04,11,95
2023-01-04,12,99
2023-01-04,13,111
2023-01-04,14,130
2023-01-04,15,149
2023-01-04,16,163
2023-01-04,17,165
2023-01-04,18,155
2023-01-04,19,133
2023-01-04,20,102
2023-01-04,21,68
2023-01-04,22,39
2023-01-04,23,20
2023-01-05,0,15
2023-01-05,1,26
2023-01-05,2,50
2023-01-05,3,83
2023-01-05,4,116
2023-01-05,5,142
2023-01-05,6,156
2023-01-05,7,157
2023-01-05,8,146
2023-01-05,9,128
2023-01-05,10,109
2023-01-05,11,96
2023-01-05,12,91
2023-01-05,13,99
2023-01-05,14,115
2023-01-05,15,137
2023-01-05,16,157
2023-01-05,17,169
2023-01-05,18,168
2023-01-05,19,152
2023-01-05,20,124
2023-01-05,21,88
2023-01-05,22,53
2023-01-05,23,24
2023-01-06,0,9
2023-01-06,1,11
2023-01-06,2,29
2023-01-06,3,60
2023-01-06,4,97
2023-01-06,5,130
2023-01-06,6,154
2023-01-06,7,163
2023-01-06,8,158
2023-01-06,9,141
2023-01-06,10,120
2023-01-06,11,100
2023-01-06,12,88
2023-01-06,13,89
2023-01-06,14,102
2023-01-06,15,123
2023-01-06,16,147
2023-01-06,17,167
2023-01-06,18,174
2023-01-06,19,167
2023-01-06,20,145
2023-01-06,21,111
2023-01-06,22,72
2023-01-06,23,37
2023-01-07,0,12
2023-01-07,1,3
2023-01-07,2,13
2023-01-07,3,39
2023-01-07,4,75
2023-01-07,5,113
2023-01-07,6,144
2023-01-07,7,162
2023-01-07,8,164
2023-01-07,9,152
2023-01-07,10,131
2023-01-07,11,107
2023-01-07,12,90
2023-01-07,13,83
2023-01-07,14,90
2023-01-07,15,109
2023-01-07,16,134
2023-01-07,17,159
2023-01-07,18,175
2023-01-07,19,176
2023-01-07,20,162
2023-01-07,21,132
2023-01-07,22,94
2023-01-07,23,54
2023-01-08,0,22
2023-01-08,1,4
2023-01-08,2,4
2023-01-08,3,22
2023-01-08,4,55
2023-01-08,5,94
2023-01-08,6,130
2023-01-08,7,156
2023-01-08,8,166
2023-01-08,9,159
2023-01-08,10,141
2023-01-08,11,116
2023-01-08,12,94
2023-01-08,13,81
2023-01-08,14,81
2023-01-08,15,95
2023-01-08,16,119
2023-01-08,17,146
2023-01-08,18,169
2023-01-08,19,179
2023-01-08,20,174
2023-01-08,21,151
2023-01-08,22,116
2023-01-08,23,76
2023-01-09,0,38
2023-01-09,1,11
2023-01-09,2,2
2023-01-09,3,11
2023-01-09,4,37
2023-01-09,5,74
2023-01-09,6,113
2023-01-09,7,144
2023-01-09,8,162
2023-01-09,9,163
2023-01-09,10,149
2023-01-09,11,126
2023-01-09,12,102
2023-01-09,13,83
2023-01-09,14,76
2023-01-09,15,83
2023-01-09,16,103
2023-01-09,17,130
2023-01-09,18,157
2023-01-09,19,175
2023-01-09,20,178
2023-01-09,21,165
2023-01-09,22,136
2023-01-09,23,98
2023-01-10,0,58
2023-01-10,1,25
2023-01-10,2,7
2023-01-10,3,7
2023-01-10,4,25
2023-01-10,5,56
2023-01-10,6,95
2023-01-10,7,130
2023-01-10,8,155
2023-01-10,9,164
2023-01-10,10,157
2023-01-10,11,137
2023-01-10,12,112
2023-01-10,13,89
2023-01-10,14,75
2023-01-10,15,75
2023-01-10,16,88
2023-01-10,17,112
2023-01-10,18,139
2023-01-10,19,163
2023-01-10,20,175
2023-01-10,21,171
2023-01-10,22,151
2023-01-10,23,119
2023-01-11,0,80
