d,t,l
2022-01-01,0,2
2022-01-01,1,11
2022-01-01,2,39
2022-01-01,3,78
2022-01-01,4,116
2022-01-01,5,149
2022-01-01,6,170
2022-01-01,7,172
2022-01-01,8,157
2022-01-01,9,133
2022-01-01,10,110
2022-01-01,11,92
2022-01-01,12,82
2022-01-01,13,86
2022-01-01,14,108
2022-01-01,15,137
2022-01-01,16,165
2022-01-01,17,183
2022-01-01,18,188
2022-01-01,19,174
2022-01-01,20,141
2022-01-01,21,99
2022-01-01,22,56
2022-01-01,23,20
2022-01-02,0,-6
2022-01-02,1,-13
2022-01-02,2,3
2022-01-02,3,39
2022-01-02,4,83
2022-01-02,5,127
2022-01-02,6,161
2022-01-02,7,179
2022-01-02,8,176
2022-01-02,9,158
2022-01-02,10,131
2022-01-02,11,105
2022-01-02,12,85
2022-01-02,13,77
2022-01-02,14,88
2022-01-02,15,113
2022-01-02,16,146
2022-01-02,17,175
2022-01-02,18,193
2022-01-02,19,193
2022-01-02,20,172
2022-01-02,21,134
2022-01-02,22,88
2022-01-02,23,42
2022-01-03,0,4
2022-01-03,1,-18
2022-01-03,2,-19
2022-01-03,3,4
2022-01-03,4,44
2022-01-03,5,93
2022-01-03,6,139
2022-01-03,7,171
2022-01-03,8,182
2022-01-03,9,175
2022-01-03,10,153
2022-01-03,11,124
2022-01-03,12,96
2022-01-03,13,78
2022-01-03,14,76
2022-01-03,15,91
2022-01-03,16,119
2022-01-03,17,154
2022-01-03,18,184
2022-01-03,19,198
2022-01-03,20,191
2022-01-03,21,165
2022-01-03,22,125
2022-01-03,23,77
2022-01-04,0,30
2022-01-04,1,-5
2022-01-04,2,-22
2022-01-04,3,-16
2022-01-04,4,11
2022-01-04,5,56
2022-01-04,6,106
2022-01-04,7,149
2022-01-04,8,174
2022-01-04,9,180
2022-01-04,10,169
2022-01-04,11,145
2022-01-04,12,114
2022-01-04,13,88
2022-01-04,14,75
2022-01-04,15,77
2022-01-04,16,94
2022-01-04,17,125
2022-01-04,18,161
2022-01-04,19,188
2022-01-04,20,195
2022-01-04,21,183
2022-01-04,22,155
2022-01-04,23,114
2022-01-05,0,66
2022-01-05,1,22
2022-01-05,2,-7
2022-01-05,3,-17
2022-01-05,4,-7
2022-01-05,5,23
2022-01-05,6,70
2022-01-05,7,118
2022-01-05,8,154
2022-01-05,9,173
2022-01-05,10,175
2022-01-05,11,161
2022-01-05,12,135
2022-01-05,13,105
2022-01-05,14,83
2022-01-05,15,73
2022-01-05,16,77
2022-01-05,17,96
2022-01-05,18,128
2022-01-05,19,162
2022-01-05,20,183
2022-01-05,21,186
2022-01-05,22,172
2022-01-05,23,144
2022-01-06,0,104
2022-01-06,1,59
2022-01-06,2,22
2022-01-06,3,-1
2022-01-06,4,-7
2022-01-06,5,6
2022-01-06,6,39
2022-01-06,7,85
2022-01-06,8,126
2022-01-06,9,155
2022-01-06,10,169
2022-01-06,11,169
2022-01-06,12,152
2022-01-06,13,124
2022-01-06,14,98
