d,t,l
2023-01-01,0,90
2023-01-01,1,111
2023-01-01,2,125
2023-01-01,3,129
2023-01-01,4,128
2023-01-01,5,119
2023-01-01,6,102
2023-01-01,7,85
2023-01-01,8,75
2023-01-01,9,76
2023-01-01,10,82
2023-01-01,11,95
2023-01-01,12,113
2023-01-01,13,134
2023-01-01,14,148
2023-01-01,15,152
2023-01-01,16,146
2023-01-01,17,132
2023-01-01,18,107
2023-01-01,19,77
2023-01-01,20,53
2023-01-01,21,39
2023-01-01,22,35
2023-01-01,23,40
2023-01-02,0,56
2023-01-02,1,79
2023-01-02,2,103
2023-01-02,3,121
2023-01-02,4,132
2023-01-02,5,135
2023-01-02,6,128
2023-01-02,7,113
2023-01-02,8,98
2023-01-02,9,89
2023-01-02,10,86
2023-01-02,11,89
2023-01-02,12,99
2023-01-02,13,117
2023-01-02,14,135
2023-01-02,15,147
2023-01-02,16,151
2023-01-02,17,146
2023-01-02,18,128
2023-01-02,19,99
2023-01-02,20,69
2023-01-02,21,44
2023-01-02,22,27
2023-01-02,23,21
2023-01-03,0,28
2023-01-03,1,48
2023-01-03,2,75
2023-01-03,3,102
2023-01-03,4,125
2023-01-03,5,140
2023-01-03,6,144
2023-01-03,7,136
2023-01-03,8,121
2023-01-03,9,106
2023-01-03,10,95
2023-01-03,11,89
2023-01-03,12,91
2023-01-03,13,103
2023-01-03,14,120
2023-01-03,15,137
2023-01-03,16,151
2023-01-03,17,155
2023-01-03,18,146
2023-01-03,19,123
2023-01-03,20,92
2023-01-03,21,60
2023-01-03,22,33
2023-01-03,23,15
2023-01-04,0,11
2023-01-04,1,23
2023-01-04,2,47
2023-01-04,3,78
2023-01-04,4,109
2023-01-04,5,136
2023-01-04,6,151
2023-01-04,7,151
2023-01-04,8,141
2023-01-04,9,124
2023-01-04,10,107
2023-01-04,11,94
2023-01-04,12,88
2023-01-04,13,93
2023-01-04,14,106
2023-01-04,15,125
2023-01-04,16,144
2023-01-04,17,158
2023-01-04,18,160
2023-01-04,19,145
2023-01-04,20,117
2023-01-04,21,83
2023-01-04,22,48
2023-01-04,23,20
2023-01-05,0,5
2023-01-05,1,7
2023-01-05,2,25
2023-01-05,3,53
2023-01-05,4,89
2023-01-05,5,124
2023-01-05,6,149
2023-01-05,7,159
2023-01-05,8,154
2023-01-05,9,140
2023-01-05,10,120
2023-01-05,11,101
2023-01-05,12,88
2023-01-05,13,87
2023-01-05,14,96
2023-01-05,15,113
2023-01-05,16,134
2023-01-05,17,156
2023-01-05,18,168
2023-01-05,19,163
2023-01-05,20,141
2023-01-05,21,109
2023-01-05,22,72
2023-01-05,23,35
2023-01-06,0,9
2023-01-06,1,1
2023-01-06,2,11
2023-01-06,3,34
2023-01-06,4,67
2023-01-06,5,107
2023-01-06,6,141
2023-01-06,7,159
2023-01-06,8,161
2023-01-06,9,151
2023-01-06,10,133
2023-01-06,11,110
2023-01-06,12,91
2023-01-06,13,84
2023-01-06,14,90
2023-01-06,15,103
2023-01-06,16,124
2023-01-06,17,148
2023-01-06,18,169
2023-01-06,19,174
2023-01-06,20,161
2023-01-06,21,133
2023-01-06,22,97
2023-01-06,23,57
2023-01-07,0,22
2023-01-07,1,3
2023-01-07,2,4
2023-01-07,3,21
2023-01-07,4,49
2023-01-07,5,87
2023-01-07,6,126
2023-01-07,7,154
2023-01-07,8,163
2023-01-07,9,158
2023-01-07,10,143
2023-01-07,11,120
2023-01-07,12,97
2023-01-07,13,83
2023-01-07,14,84
2023-01-07,15,96
2023-01-07,16,114
2023-01-07,17,138
2023-01-07,18,163
2023-01-07,19,178
2023-01-07,20,174
2023-01-07,21,154
2023-01-07,22,122
2023-01-07,23,82
2023-01-08,0,42
2023-01-08,1,13
2023-01-08,2,4
2023-01-08,3,13
2023-01-08,4,36
2023-01-08,5,69
2023-01-08,6,109
2023-01-08,7,143
2023-01-08,8,161
2023-01-08,9,162
2023-01-08,10,151
2023-01-08,11,131
2023-01-08,12,106
2023-01-08,13,87
2023-01-08,14,81
2023-01-08,15,89
2023-01-08,16,105
2023-01-08,17,126
2023-01-08,18,152
