d,t,l
2022-01-01,0,-3
2022-01-01,1,13
2022-01-01,2,45
2022-01-01,3,86
2022-01-01,4,127
2022-01-01,5,158
2022-01-01,6,174
2022-01-01,7,172
2022-01-01,8,155
2022-01-01,9,130
2022-01-01,10,103
2022-01-01,11,84
2022-01-01,12,79
2022-01-01,13,90
2022-01-01,14,114
2022-01-01,15,146
2022-01-01,16,175
2022-01-01,17,193
2022-01-01,18,193
2022-01-01,19,174
2022-01-01,20,138
2022-01-01,21,92
2022-01-01,22,44
2022-01-01,23,5
2022-01-02,0,-17
2022-01-02,1,-18
2022-01-02,2,4
2022-01-02,3,42
2022-01-02,4,89
2022-01-02,5,134
2022-01-02,6,167
2022-01-02,7,183
2022-01-02,8,178
2022-01-02,9,158
2022-01-02,10,129
2022-01-02,11,100
2022-01-02,12,82
2022-01-02,13,78
2022-01-02,14,93
2022-01-02,15,121
2022-01-02,16,155
2022-01-02,17,185
2022-01-02,18,201
2022-01-02,19,198
2022-01-02,20,174
2022-01-02,21,132
2022-01-02,22,81
2022-01-02,23,30
2022-01-03,0,-9
2022-01-03,1,-29
2022-01-03,2,-25
2022-01-03,3,2
2022-01-03,4,46
2022-01-03,5,97
2022-01-03,6,143
2022-01-03,7,175
2022-01-03,8,187
2022-01-03,9,179
2022-01-03,10,155
2022-01-03,11,123
2022-01-03,12,95
2022-01-03,13,78
2022-01-03,14,78
2022-01-03,15,96
2022-01-03,16,127
2022-01-03,17,163
2022-01-03,18,192
2022-01-03,19,206
2022-01-03,20,198
2022-01-03,21,169
2022-01-03,22,124
2022-01-03,23,70
2022-01-04,0,20
2022-01-04,1,-17
2022-01-04,2,-32
2022-01-04,3,-22
2022-01-04,4,9
2022-01-04,5,56
2022-01-04,6,107
2022-01-04,7,151
2022-01-04,8,179
2022-01-04,9,186
2022-01-04,10,174
2022-01-04,11,147
2022-01-04,12,114
2022-01-04,13,88
2022-01-04,14,74
2022-01-04,15,78
2022-01-04,16,100
2022-01-04,17,133
2022-01-04,18,168
2022-01-04,19,195
2022-01-04,20,205
2022-01-04,21,193
2022-01-04,22,161
2022-01-04,23,113
2022-01-05,0,61
2022-01-05,1,14
2022-01-05,2,-17
2022-01-05,3,-26
2022-01-05,4,-12
2022-01-05,5,23
2022-01-05,6,71
2022-01-05,7,119
2022-01-05,8,158
2022-01-05,9,180
2022-01-05,10,181
2022-01-05,11,164
2022-01-05,12,136
2022-01-05,13,105
2022-01-05,14,81
2022-01-05,15,72
2022-01-05,16,80
2022-01-05,17,104
2022-01-05,18,137
2022-01-05,19,169
2022-01-05,20,192
2022-01-05,21,197
2022-01-05,22,182
2022-01-05,23,148
2022-01-06,0,102
2022-01-06,1,54
2022-01-06,2,14
2022-01-06,3,-10
2022-01-06,4,-12
2022-01-06,5,7
2022-01-06,6,43
2022-01-06,7,88
2022-01-06,8,131
2022-01-06,9,163
2022-01-06,10,177
2022-01-06,11,173
2022-01-06,12,153
2022-01-06,13,124
2022-01-06,14,96
2022-01-06,15,76
2022-01-06,16,71
2022-01-06,17,82
2022-01-06,18,106
2022-01-06,19,137
2022-01-06,20,166
2022-01-06,21,183
2022-01-06,22,184
2022-01-06,23,166
2022-01-07,0,133
2022-01-07,1,92
2022-01-07,2,51
2022-01-07,3,20
2022-01-07,4,4
2022-01-07,5,8
2022-01-07,6,30
2022-01-07,7,65
2022-01-07,8,105
2022-01-07,9,141
2022-01-07,10,164
2022-01-07,11,172
2022-01-07,12,163
2022-01-07,13,141
2022-01-07,14,114
2022-01-07,15,90
2022-01-07,16,74
2022-01-07,17,72
2022-01-07,18,84
2022-01-07,19,106
2022-01-07,20,134
2022-01-07,21,157
2022-01-07,22,169
2022-01-07,23,167
2022-01-08,0,149
2022-01-08,1,120
2022-01-08,2,85
2022-01-08,3,53
2022-01-08,4,31
2022-01-08,5,24
2022-01-08,6,32
2022-01-08,7,55
2022-01-08,8,87
2022-01-08,9,120
2022-01-08,10,147
2022-01-08,11,163
2022-01-08,12,164
2022-01-08,13,153
2022-01-08,14,131
2022-01-08,15,107
2022-01-08,16,86
2022-01-08,17,73
2022-01-08,18,73
2022-01-08,19,84
2022-01-08,20,103
2022-01-08,21,126
