d,t,l
2021-01-01,0,24
2021-01-01,1,-2
2021-01-01,2,-9
2021-01-01,3,4
2021-01-01,4,35
2021-01-01,5,76
2021-01-01,6,119
2021-01-01,7,153
2021-01-01,8,171
2021-01-01,9,170
2021-01-01,10,154
2021-01-01,11,129
2021-01-01,12,101
2021-01-01,13,81
2021-01-01,14,74
2021-01-01,15,82
2021-01-01,16,103
2021-01-01,17,131
2021-01-01,18,159
2021-01-01,19,178
2021-01-01,20,181
2021-01-01,21,166
2021-01-01,22,135
2021-01-01,23,94
2021-01-02,0,52
2021-01-02,1,17
2021-01-02,2,-2
2021-01-02,3,-1
2021-01-02,4,19
2021-01-02,5,54
2021-01-02,6,96
2021-01-02,7,135
2021-01-02,8,162
2021-01-02,9,172
2021-01-02,10,165
2021-01-02,11,146
2021-01-02,12,119
2021-01-02,13,95
2021-01-02,14,81
2021-01-02,15,80
2021-01-02,16,92
2021-01-02,17,116
2021-01-02,18,144
2021-01-02,19,169
2021-01-02,20,181
2021-01-02,21,177
2021-01-02,22,158
2021-01-02,23,125
2021-01-03,0,84
2021-01-03,1,46
2021-01-03,2,19
2021-01-03,3,8
2021-01-03,4,15
2021-01-03,5,39
2021-01-03,6,75
2021-01-03,7,114
2021-01-03,8,145
2021-01-03,9,164
2021-01-03,10,168
2021-01-03,11,158
2021-01-03,12,137
2021-01-03,13,112
2021-01-03,14,93
2021-01-03,15,84
2021-01-03,16,86
2021-01-03,17,101
2021-01-03,18,125
2021-01-03,19,150
2021-01-03,20,169
2021-01-03,21,176
2021-01-03,22,169
2021-01-03,23,148
2021-01-04,0,117
2021-01-04,1,81
2021-01-04,2,49
2021-01-04,3,29
2021-01-04,4,23
2021-01-04,5,33
2021-01-04,6,58
2021-01-04,7,92
2021-01-04,8,125
2021-01-04,9,150
2021-01-04,10,163
2021-01-04,11,164
2021-01-04,12,151
2021-01-04,13,130
2021-01-04,14,109
2021-01-04,15,93
2021-01-04,16,86
2021-01-04,17,89
2021-01-04,18,103
2021-01-04,19,125
2021-01-04,20,147
2021-01-04,21,161
2021-01-04,22,166
2021-01-04,23,160
2021-01-05,0,141
2021-01-05,1,113
2021-01-05,2,84
2021-01-05,3,59
2021-01-05,4,43
2021-01-05,5,40
2021-01-05,6,51
2021-01-05,7,75
2021-01-05,8,104
2021-01-05,9,131
2021-01-05,10,151
2021-01-05,11,162
2021-01-05,12,160
2021-01-05,13,146
2021-01-05,14,127
2021-01-05,15,107
2021-01-05,16,92
2021-01-05,17,83
2021-01-05,18,85
2021-01-05,19,98
2021-01-05,20,117
2021-01-05,21,135
2021-01-05,22,148
2021-01-05,23,155
2021-01-06,0,152
2021-01-06,1,137
2021-01-06,2,115
2021-01-06,3,92
2021-01-06,4,71
2021-01-06,5,57
2021-01-06,6,55
2021-01-06,7,66
2021-01-06,8,87
2021-01-06,9,112
2021-01-06,10,135
2021-01-06,11,153
2021-01-06,12,161
2021-01-06,13,157
2021-01-06,14,143
2021-01-06,15,124
2021-01-06,16,104
2021-01-06,17,85
2021-01-06,18,75
2021-01-06,19,75
2021-01-06,20,85
2021-01-06,21,101
2021-01-06,22,118
2021-01-06,23,135
2021-01-07,0,145
2021-01-07,1,146
2021-01-07,2,137
2021-01-07,3,121
2021-01-07,4,101
2021-01-07,5,82
2021-01-07,6,69
2021-01-07,7,67
2021-01-07,8,78
2021-01-07,9,95
2021-01-07,10,117
2021-01-07,11,138
2021-01-07,12,155
2021-01-07,13,161
2021-01-07,14,156
2021-01-07,15,141
2021-01-07,16,120
2021-01-07,17,96
2021-01-07,18,74
2021-01-07,19,62
2021-01-07,20,60
2021-01-07,21,67
2021-01-07,22,82
2021-01-07,23,102
2021-01-08,0,123
2021-01-08,1,138
2021-01-08,2,143
2021-01-08,3,139
2021-01-08,4,128
2021-01-08,5,110
2021-01-08,6,91
2021-01-08,7,79
2021-01-08,8,77
2021-01-08,9,85
2021-01-08,10,100
2021-01-08,11,120
2021-01-08,12,141
2021-01-08,13,157
2021-01-08,14,161
2021-01-08,15,155
2021-01-08,16,139
2021-01-08,17,114
2021-01-08,18,85
2021-01-08,19,61
2021-01-08,20,46
2021-01-08,21,41
2021-01-08,22,47
2021-01-08,23,63
2021-01-09,0,87
2021-01-09,1,112
2021-01-09,2,132
2021-01-09,3,143
2021-01-09,4,144
2021-01-09,5,134
2021-01-09,6,116
2021-01-09,7,98
2021-01-09,8,86
2021-01-09,9,83
2021-01-09,10,87
2021-01-09,11,101
2021-01-09,12,122
2021-01-09,13,143
2021-01-09,14,157
2021-01-09,15,162
2021-01-09,16,154
2021-01-09,17,135
2021-01-09,18,106
2021-01-09,19,74
2021-01-09,20,47
2021-01-09,21,29
2021-01-09,22,22
2021-01-09,23,27
2021-01-10,0,47
2021-01-10,1,75
2021-01-10,2,105
2021-01-10,3,129
2021-01-10,4,145
2021-01-10,5,149
2021-01-10,6,139
2021-01-10,7,121
2021-01-10,8,103
2021-01-10,9,90
2021-01-10,10,83
2021-01-10,11,86
2021-01-10,12,101
2021-01-10,13,122
2021-01-10,14,144
2021-01-10,15,159
2021-01-10,16,163
2021-01-10,17,155
2021-01-10,18,132
2021-01-10,19,99
2021-01-10,20,64
2021-01-10,21,34
2021-01-10,22,12
2021-01-10,23,3
2021-01-11,0,11
2021-01-11,1,34
2021-01-11,2,67
2021-01-11,3,101
2021-01-11,4,132
2021-01-11,5,151
2021-01-11,6,155
2021-01-11,7,144
2021-01-11,8,125
2021-01-11,9,105
2021-01-11,10,88
2021-01-11,11,79
2021-01-11,12,82
2021-01-11,13,98
2021-01-11,14,121
2021-01-11,15,145
2021-01-11,16,162
2021-01-11,17,167
2021-01-11,18,156
2021-01-11,19,129
2021-01-11,20,93
2021-01-11,21,55
2021-01-11,22,20
2021-01-11,23,-4
2021-01-12,0,-12
2021-01-12,1,-1
2021-01-12,2,27
2021-01-12,3,65
2021-01-12,4,105
2021-01-12,5,139
2021-01-12,6,158
2021-01-12,7,160
2021-01-12,8,146
2021-01-12,9,124
2021-01-12,10,100
2021-01-12,11,80
2021-01-12,12,71
2021-01-12,13,77
2021-01-12,14,96
2021-01-12,15,122
2021-01-12,16,150
2021-01-12,17,169
2021-01-12,18,173
2021-01-12,19,157
2021-01-12,20,126
2021-01-12,21,86
2021-01-12,22,44
2021-01-12,23,7
2021-01-13,0,-17
2021-01-13,1,-21
2021-01-13,2,-5
2021-01-13,3,28
2021-01-13,4,72
2021-01-13,5,116
2021-01-13,6,150
2021-01-13,7,165
2021-01-13,8,162
2021-01-13,9,144
2021-01-13,10,118
2021-01-13,11,91
2021-01-13,12,70
2021-01-13,13,63
2021-01-13,14,73
2021-01-13,15,97
2021-01-13,16,128
2021-01-13,17,158
2021-01-13,18,177
2021-01-13,19,177
2021-01-13,20,156
2021-01-13,21,121
2021-01-13,22,78
2021-01-13,23,33
2021-01-14,0,-4
2021-01-14,1,-23
2021-01-14,2,-22
2021-01-14,3,0
2021-01-14,4,39
2021-01-14,5,87
2021-01-14,6,131
2021-01-14,7,160
2021-01-14,8,169
2021-01-14,9,160
2021-01-14,10,137
2021-01-14,11,107
2021-01-14,12,78
2021-01-14,13,61
2021-01-14,14,59
2021-01-14,15,74
2021-01-14,16,103
2021-01-14,17,138
2021-01-14,18,168
2021-01-14,19,183
2021-01-14,20,176
2021-01-14,21,151
2021-01-14,22,112
2021-01-14,23,67
2021-01-15,0,23
2021-01-15,1,-8
2021-01-15,2,-21
2021-01-15,3,-13
2021-01-15,4,16
2021-01-15,5,60
2021-01-15,6,107
2021-01-15,7,145
2021-01-15,8,166
2021-01-15,9,168
2021-01-15,10,153
2021-01-15,11,126
2021-01-15,12,94
2021-01-15,13,68
2021-01-15,14,56
2021-01-15,15,61
2021-01-15,16,81
2021-01-15,17,114
2021-01-15,18,150
2021-01-15,19,175
2021-01-15,20,182
