4277,女島（男女群島）,ME SHIMA
4301,本渡（島原湾）,HONDO
4310,水俣（八代海）,MINAMATA
4314,牛深（天草下島）,USHIBUKA
4503,油津,ABURATSU
4506,細島,HOSOSHIMA
4509,宮崎,MIYAZAKI(KYUSHU)
4601,阿久根,AKUNE
4602,川内,SENDAI(KYUSHU)
4603,浦内湾,URAUCHI WAN
4604,串木野,KUSHIKINO
4607,枕崎,MAKURAZAKI
4608,山川,YAMAGAWA
4609,喜入,KIIRE
4610,鹿児島,KAGOSHIMA
4614,鹿屋,KANOYA
4616,大泊,ODOMARI(KYUSHU)
4617,志布志（志布志湾）,SHIBUSHI
4618,硫黄島,IOJIMA(NANSEI SHOTO)
4619,西之表（種子島）,NISHINOOMOTE
4622,一湊（屋久島）,ISSO
4623,口永良部島,KUCHINOERABU SHIMA
4625,中之島（トカラ群島）,NAKA-NO-SHIMA
4626,宝島（トカラ群島）,TAKARA SHIMA
4628,名瀬（奄美大島）,NAZE
4632,古仁屋（奄美大島海峡）,KONIYA
4635,山村湾（徳之島）,SANMURA WAN
4636,和泊（沖永良部島）,WADOMARI
4701,我喜屋（伊平屋島）,GAKIYA
4621,熊野（種子島）,KUMANO(TANE-GA-SHIMA)
